stiffness_walking lin vel,stiffness_walking cot,foot_dep_walking lin vel,foot_dep_walking cot,time_opt_walking lin vel,time_opt_walking cot,time_real_walking lin vel,time_real_walking cot,fixed_walking lin vel,fixed_walking cot,stiffness_trotting lin vel,stiffness_trotting cot,foot_dep_trotting lin vel,foot_dep_trotting cot,time_opt_trotting lin vel,time_opt_trotting cot,time_real_trotting lin vel,time_real_trotting cot,fixed_trotting lin vel,fixed_trotting cot,
0.1,6.54986,0.1,5.44221,0.1,5.42698,0.1,8.9207,0.1,4.18951,0.1,7.76057,0.1,7.72283,0.1,7.982,0.1,16.4585,0.1,5.10718,
0.15,4.67602,0.15,4.08795,0.15,4.00079,0.15,6.41024,0.15,3.11692,0.15,5.28084,0.15,5.24306,0.15,5.4181,0.15,11.0079,0.15,3.51932,
0.2,3.8098,0.2,3.463,0.2,3.31071,0.2,5.31031,0.2,2.63908,0.2,4.04809,0.2,4.06729,0.2,4.15545,0.2,8.2109,0.2,2.77525,
0.25,3.37127,0.25,3.1542,0.25,2.96037,0.25,4.68561,0.25,2.37174,0.25,3.33001,0.25,3.38553,0.25,3.42723,0.25,6.58993,0.25,2.34242,
0.3,3.06191,0.3,2.94584,0.3,2.78521,0.3,4.30295,0.3,2.23323,0.3,2.86853,0.3,2.96205,0.3,2.95919,0.3,5.60687,0.3,2.04728,
0.35,2.84917,0.35,2.88842,0.35,2.6369,0.35,4.06808,0.35,2.13492,0.35,2.57598,0.35,2.67674,0.35,2.62467,0.35,4.88943,0.35,1.87238,
0.4,2.6602,0.4,2.75722,0.4,2.43285,0.4,3.73069,0.4,2.00749,0.4,2.3301,0.4,2.46954,0.4,2.39785,0.4,4.44368,0.4,1.73739,
0.45,2.56927,0.45,2.6519,0.45,2.29717,0.45,3.41373,0.45,1.92521,0.45,2.1614,0.45,2.30806,0.45,2.23078,0.45,3.9335,0.45,1.64984,
0.5,2.4664,0.5,2.53444,0.5,2.19029,0.5,3.17228,0.5,1.8626,0.5,1.96362,0.5,2.17949,0.5,2.12766,0.5,3.84206,0.5,1.5705,
0.55,2.45527,0.55,2.4218,0.55,2.14839,0.55,3.15577,0.55,1.83301,0.55,1.8384,0.55,2.10135,0.55,2.0313,0.55,3.71006,0.55,1.54238,
0.6,2.42084,0.6,2.39232,0.6,2.11922,0.6,3.05676,0.6,1.82706,0.6,1.85745,0.6,2.18674,0.6,1.9119,0.6,2.81758,0.6,1.53459,
0.65,2.45145,0.65,2.44158,0.65,2.13937,0.65,3.01143,0.65,1.87004,0.65,1.72059,0.65,2.2357,0.65,1.73141,0.65,2.30728,0.65,1.39105,
0.7,2.53391,0.7,2.5885,0.7,2.29227,0.7,3.06691,0.7,2.00581,0.7,1.62226,0.7,2.0941,0.7,1.63889,0.7,2.19891,0.7,1.29372,
0.75,2.67733,0.75,2.70723,0.75,2.44241,0.75,3.16688,0.75,2.16618,0.75,1.5695,0.75,1.80604,0.75,1.62414,0.75,2.21289,0.75,1.2817,
0.8,2.81685,0.8,2.78831,0.8,2.67839,0.8,3.39501,0.8,2.39487,0.8,1.51604,0.8,1.77571,0.8,1.61277,0.8,2.2618,0.8,1.23137,
0.85,3.06922,0.85,3.04433,0.85,3.29363,,,,,0.85,1.50455,0.85,1.814,0.85,1.58889,0.85,2.32676,0.85,1.22427,
,,,,,,,,,,0.9,1.51407,0.9,1.8608,0.9,1.63825,0.9,2.34522,0.9,1.23644,
,,,,,,,,,,0.95,1.511,0.95,1.9232,0.95,1.61003,0.95,2.27542,0.95,1.24163,
,,,,,,,,,,1,1.52997,1,1.9343,1,1.57081,1,2.20409,1,1.25628,
0,1.26315e-318,0,1.20394e-318,0,1.24126e-318,0,1.17643e-318,0,3.32218e-318,1.05,1.56263,1.05,2.61686,1.05,1.54079,1.05,2.08822,1.05,1.25967,
,,,,,,,,,,1.1,1.55259,1.1,2.71182,1.1,1.53045,1.1,1.95063,1.1,1.25866,
,,,,,,,,,,1.15,1.54468,1.15,3.31705,1.15,1.49516,1.15,1.89601,1.15,1.25088,
,,,,,,,,,,1.2,1.52885,,,1.2,1.47979,1.2,1.87583,1.2,1.2315,
,,,,,,,,,,1.25,1.56589,,,1.25,1.52356,1.25,1.86113,1.25,1.22653,
,,,,,,,,,,1.3,1.59103,,,1.3,1.52188,1.3,1.82288,1.3,1.21617,
,,,,,,,,,,1.35,1.59634,,,1.35,1.55996,1.35,1.84097,1.35,1.20605,
,,,,,,,,,,1.4,1.58762,,,1.4,1.54569,1.4,1.79354,,,
,,,,,,,,,,1.45,1.70004,,,1.45,1.62552,1.45,1.86022,1.45,1.13075,
,,,,,,,,,,1.5,1.67051,,,1.5,1.64592,1.5,1.92084,1.5,1.17859,
,,,,,,,,,,1.55,1.54992,,,1.55,1.52121,1.55,1.76757,1.55,1.14182,
,,,,,,,,,,1.6,1.63474,,,1.6,1.59039,1.6,1.90501,1.6,1.14988,
,,,,,,,,,,1.65,1.56099,,,,,,,,,
,,,,,,,,,,1.7,1.4933,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
