stiffness_walking lin vel,stiffness_walking cot,foot_dep_walking lin vel,foot_dep_walking cot,time_opt_walking lin vel,time_opt_walking cot,time_real_walking lin vel,time_real_walking cot,fixed_walking lin vel,fixed_walking cot,stiffness_trotting lin vel,stiffness_trotting cot,foot_dep_trotting lin vel,foot_dep_trotting cot,time_opt_trotting lin vel,time_opt_trotting cot,time_real_trotting lin vel,time_real_trotting cot,fixed_trotting lin vel,fixed_trotting cot,
0.1,5.0192,0.1,4.73954,0.1,4.62897,0.1,5.75768,0.1,4.18951,0.1,6.27824,0.1,6.26689,0.1,5.82066,0.1,8.48394,0.1,5.10718,
0.15,3.62419,0.15,3.52234,0.15,3.42915,0.15,4.14689,0.15,3.11692,0.15,4.27149,0.15,4.27488,0.15,3.98966,0.15,5.86829,0.15,3.51932,
0.2,2.98894,0.2,2.95058,0.2,2.85931,0.2,3.46414,0.2,2.63908,0.2,3.28479,0.2,3.29781,0.2,3.08001,0.2,4.5221,0.2,2.77525,
0.25,2.67506,0.25,2.64826,0.25,2.57456,0.25,3.08275,0.25,2.37174,0.25,2.71952,0.25,2.73334,0.25,2.58659,0.25,3.75889,0.25,2.34242,
0.3,2.46637,0.3,2.45916,0.3,2.43803,0.3,2.85881,0.3,2.23323,0.3,2.33744,0.3,2.37596,0.3,2.25282,0.3,3.2667,0.3,2.04728,
0.35,2.3209,0.35,2.31697,0.35,2.32243,0.35,2.73166,0.35,2.13492,0.35,2.10288,0.35,2.13044,0.35,2.02818,0.35,2.92624,0.35,1.87238,
0.4,2.19492,0.4,2.21632,0.4,2.14546,0.4,2.55452,0.4,2.00749,0.4,1.91035,0.4,1.95277,0.4,1.88273,0.4,2.70007,0.4,1.73739,
0.45,2.11798,0.45,2.11803,0.45,2.01399,0.45,2.37779,0.45,1.92521,0.45,1.78146,0.45,1.82144,0.45,1.7732,0.45,2.39493,0.45,1.64984,
0.5,2.04297,0.5,2.02844,0.5,1.91655,0.5,2.22237,0.5,1.8626,0.5,1.64612,0.5,1.72767,0.5,1.70668,0.5,2.38228,0.5,1.5705,
0.55,2.03592,0.55,2.01005,0.55,1.88668,0.55,2.20894,0.55,1.83301,0.55,1.56282,0.55,1.67039,0.55,1.6682,0.55,2.36696,0.55,1.54238,
0.6,2.02565,0.6,1.97454,0.6,1.87159,0.6,2.1727,0.6,1.82706,0.6,1.57004,0.6,1.58972,0.6,1.57095,0.6,1.85502,0.6,1.53459,
0.65,2.06219,0.65,2.01232,0.65,1.89312,0.65,2.17449,0.65,1.87004,0.65,1.45599,0.65,1.48641,0.65,1.42296,0.65,1.54029,0.65,1.39105,
0.7,2.13638,0.7,2.0556,0.7,2.01018,0.7,2.3006,0.7,2.00581,0.7,1.36753,0.7,1.3971,0.7,1.34982,0.7,1.46532,0.7,1.29372,
0.75,2.25158,0.75,2.16451,0.75,2.13822,0.75,2.41709,0.75,2.16618,0.75,1.32506,0.75,1.30519,0.75,1.32622,0.75,1.45983,0.75,1.2817,
0.8,2.39108,0.8,2.29624,0.8,2.35476,0.8,2.6384,0.8,2.39487,0.8,1.29252,0.8,1.30143,0.8,1.31869,0.8,1.47433,0.8,1.23137,
0.85,2.61147,0.85,2.54009,0.85,2.87935,,,,,0.85,1.28031,0.85,1.30983,0.85,1.28992,0.85,1.49342,0.85,1.22427,
,,,,,,,,,,0.9,1.28904,0.9,1.3216,0.9,1.32334,0.9,1.4894,0.9,1.23644,
,,,,,,,,,,0.95,1.28971,0.95,1.3317,0.95,1.30834,0.95,1.44389,0.95,1.24163,
,,,,,,,,,,1,1.29836,1,1.32146,1,1.28913,1,1.42066,1,1.25628,
0,1.31973e-317,0,1.1907e-321,0,1.31975e-317,0,1.31976e-317,0,1.1907e-321,1.05,1.32716,1.05,1.48378,1.05,1.27683,1.05,1.41341,1.05,1.25967,
,,,,,,,,,,1.1,1.35068,1.1,1.49144,1.1,1.28916,1.1,1.41533,1.1,1.25866,
,,,,,,,,,,1.15,1.34616,1.15,1.59094,1.15,1.27559,1.15,1.40782,1.15,1.25088,
,,,,,,,,,,1.2,1.34445,,,1.2,1.27467,1.2,1.41286,1.2,1.2315,
,,,,,,,,,,1.25,1.35444,,,1.25,1.28517,1.25,1.4004,1.25,1.22653,
,,,,,,,,,,1.3,1.36019,,,1.3,1.27175,1.3,1.36902,1.3,1.21617,
,,,,,,,,,,1.35,1.35018,,,1.35,1.27791,1.35,1.37807,1.35,1.20605,
,,,,,,,,,,1.4,1.32611,,,1.4,1.24387,1.4,1.34496,,,
,,,,,,,,,,1.45,1.35382,,,1.45,1.22938,1.45,1.30311,1.45,1.13075,
,,,,,,,,,,1.5,1.37985,,,1.5,1.3043,1.5,1.37509,1.5,1.17859,
,,,,,,,,,,1.55,1.31541,,,1.55,1.2447,1.55,1.30688,1.55,1.14182,
,,,,,,,,,,1.6,1.36131,,,1.6,1.27848,1.6,1.36129,1.6,1.14988,
,,,,,,,,,,1.65,1.30241,,,,,,,,,
,,,,,,,,,,1.7,1.24799,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
