timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0.0321194,-0.0104682,-0.0320834,0.0104713,0,0,0,0,0.0990677,0.10945,-0.240992,0.560954,0,0,0,0.0990676,-0.10945,-0.240992,0.56154,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349878,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350042,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0.0321875,-0.0104631,-0.0320807,0.0104722,0,0,0,0,0,0,0,1.09352,0,0,0,0,0,0,1.09464,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.68268,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682982,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,-0.00166355,0.020549,-0.00297187,2.19792e-06,2.32296e-06,0.0297112,0,0,0,0,3.92369e-05,-0.0350551,0.000212214,0.0351382,1.07966,-0.00666093,-2.00903,-0.00615132,0,0,0,1.15173,0,0,0,0,0,0,1.17552,0,0,0,0.00170695,0.000893359,-0.0453986,0,0,0,0.725414,0,0,0,-3.19606e-06,4.80964e-05,-5.90839e-06,0,0,0,0.714998,0,0,0,-3.92369e-05,-0.000122075,-0.000212214,3.89673e-05,4.99939,10.037,5.03758,7.81469,
0.0075,-0.00289,0.0418134,-0.00381734,1.36202e-05,7.32952e-06,0.0296005,0,0,0,0,-0.000156172,-0.0348053,0.000625806,0.035062,1.07966,-0.00666093,-2.00903,-0.00615132,0,0,0,1.21257,0,0,0,0,0,0,1.26033,0,0,0,0.0045689,0.00200262,-0.0442953,0,0,0,0.731672,0,0,0,-1.04211e-05,0.00015263,-1.54517e-05,0,0,0,0.710836,0,0,0,0.000156172,-0.000371953,-0.000625806,0.000115206,5.10055,10.3802,5.27962,7.81469,
0.01,-0.00300887,0.0618463,-0.00404075,2.75709e-05,1.55094e-05,0.0294919,0,0,0,0,-0.000441381,-0.0344146,0.00123933,0.0349508,0.898619,-0.00351657,-2.02315,-0.0137155,0,0,0,1.263,0,0,0,0,0,0,1.3279,0,0,0,0.00558028,0.00327197,-0.0434193,0,0,0,0.746791,0,0,0,-1.79437e-05,0.000307246,-2.55534e-05,0,0,0,0.71665,0,0,0,0.000441381,-0.000762617,-0.00123933,0.000226357,4.76307,9.61118,4.84811,7.31313,
0.0125,-0.0031324,0.0818902,-0.00430269,4.40521e-05,2.6849e-05,0.0293854,0,0,0,0,-0.000816979,-0.0338824,0.00205269,0.0348047,0.898619,-0.00351657,-2.02315,-0.0137155,0,0,0,1.30944,0,0,0,0,0,0,1.39506,0,0,0,0.0065925,0.00453582,-0.0425987,0,0,0,0.762157,0,0,0,-2.57757e-05,0.000511971,-3.63095e-05,0,0,0,0.722728,0,0,0,0.000816979,-0.00129479,-0.00205269,0.000372489,4.85871,9.9125,5.05378,7.31313,
0.015,-0.00360226,0.100089,-0.0102281,5.94846e-05,4.05231e-05,0.0292804,0,0,0,0,-0.00124884,-0.0332586,0.00305588,0.0346109,0.768894,0.00210855,-2.02558,-0.0219721,0,0,0,1.34323,0,0,0,0,0,0,1.44542,0,0,0,0.00617299,0.00546963,-0.0420163,0,0,0,0.784992,0,0,0,-3.47794e-05,0.000762194,-6.18789e-05,0,0,0,0.736159,0,0,0,0.00124884,-0.00191856,-0.00305588,0.000566342,4.86354,9.43271,4.56917,7.15896,
0.0175,-0.00406596,0.118306,-0.0161453,7.38563e-05,5.65274e-05,0.0291767,0,0,0,0,-0.00173778,-0.0325428,0.00424879,0.0343693,0.768894,0.00210855,-2.02558,-0.0219721,0,0,0,1.37807,0,0,0,0,0,0,1.49591,0,0,0,0.00574868,0.00640173,-0.0414947,0,0,0,0.807959,0,0,0,-4.4938e-05,0.00105796,-0.000102241,0,0,0,0.749735,0,0,0,0.00173778,-0.00263437,-0.00424879,0.000807884,4.95443,9.69347,4.73904,7.15896,
0.02,-0.00429602,0.133479,-0.0217417,8.60241e-05,7.4234e-05,0.0290736,0,0,0,0,-0.00226718,-0.0317587,0.00561434,0.0340845,0.752345,-0.00359259,-1.99013,-0.0409338,0,0,0,1.40527,0,0,0,0,0,0,1.53455,0,0,0,0.00486714,0.00708263,-0.0412094,0,0,0,0.833311,0,0,0,-5.56664e-05,0.00139166,-0.000156593,0,0,0,0.767831,0,0,0,0.00226718,-0.00341853,-0.00561434,0.0010927,5.02848,9.23523,4.20675,6.95651,
0.0225,-0.00451872,0.148674,-0.0273254,9.59716e-05,9.36394e-05,0.0289712,0,0,0,0,-0.00283796,-0.0309056,0.0071524,0.0337565,0.752345,-0.00359259,-1.99013,-0.0409338,0,0,0,1.43372,0,0,0,0,0,0,1.5738,0,0,0,0.00397897,0.00776215,-0.0409906,0,0,0,0.858858,0,0,0,-6.69448e-05,0.00176334,-0.000224904,0,0,0,0.785859,0,0,0,0.00283796,-0.00427161,-0.0071524,0.00142075,5.143,9.48768,4.34468,6.95651,
