timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0,0,0,0,0,0,0,0,0.0990677,0.10945,-0.240992,0.560951,0,0,0,0.0990676,-0.10945,-0.240992,0.561538,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349882,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350043,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09352,0,0,0,0,0,0,1.09464,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682679,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682996,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.0012685,0.0203478,0.00165533,2.11544e-06,2.68075e-07,0.0297113,0,0,0,0,0,0,0,0,1.07966,-0.00666093,-2.00903,-0.00615132,0,0,0,1.16742,0,0,0,0,0,0,1.16563,0,0,0,0.00167395,7.14056e-05,-0.0453486,0,0,0,0.718513,0,0,0,4.13408e-06,4.75932e-05,5.65962e-06,0,0,0,0.720566,0,0,0,-3.14642e-05,-3.6312e-06,-0.000211206,-2.82248e-06,4.99493,9.60731,4.61238,7.26935,
0.0075,0.00239369,0.041401,0.00339682,1.33534e-05,6.85061e-07,0.0296009,0,0,0,0,0,0,0,0,1.07966,-0.00666093,-2.00903,-0.00615132,0,0,0,1.24496,0,0,0,0,0,0,1.24086,0,0,0,0.00449518,0.000166794,-0.0441944,0,0,0,0.71808,0,0,0,1.01184e-05,0.000151096,1.41516e-05,0,0,0,0.721821,0,0,0,0.000179926,4.31248e-06,-0.000622756,-5.87031e-06,5.093,9.93101,4.83801,7.26935,
0.01,0.00328671,0.0611363,0.00365186,2.68379e-05,1.40881e-06,0.0294922,0,0,0,0,0,0,0,0,0.898586,-4.8577e-05,-2.02298,0.00128817,0,0,0,1.30198,0,0,0,0,0,0,1.29632,0,0,0,0.00539379,0.000289498,-0.0434542,0,0,0,0.729404,0,0,0,1.83356e-05,0.000303936,2.32811e-05,0,0,0,0.733781,0,0,0,0.000474423,1.74332e-05,-0.00122889,-5.62588e-06,4.752,9.02952,4.27752,6.75204,
0.0125,0.00417671,0.0808802,0.00390471,4.25599e-05,2.43725e-06,0.0293853,0,0,0,0,0,0,0,0,0.898586,-4.8577e-05,-2.02298,0.00128817,0,0,0,1.35902,0,0,0,0,0,0,1.35188,0,0,0,0.00628881,0.000411379,-0.0427673,0,0,0,0.740962,0,0,0,2.87782e-05,0.000506137,3.30426e-05,0,0,0,0.745954,0,0,0,0.000852615,3.57661e-05,-0.00202953,-2.08505e-06,4.84552,9.30076,4.45524,6.75204,
0.015,0.00495681,0.0985587,0.00390882,5.69892e-05,3.77665e-06,0.0292794,0,0,0,0,0,0,0,0,0.769948,0.00356904,-2.02715,0.00433686,0,0,0,1.40069,0,0,0,0,0,0,1.39228,0,0,0,0.00577172,0.000535758,-0.0423513,0,0,0,0.760193,0,0,0,4.11718e-05,0.000752534,4.28142e-05,0,0,0,0.765419,0,0,0,0.00127825,5.85844e-05,-0.00301255,5.56448e-06,4.84911,8.85857,4.00946,6.65895,
0.0175,0.00573394,0.116254,0.00391298,7.01134e-05,5.42469e-06,0.0291744,0,0,0,0,0,0,0,0,0.769948,0.00356904,-2.02715,0.00433686,0,0,0,1.44294,0,0,0,0,0,0,1.43329,0,0,0,0.00524969,0.000659216,-0.0419948,0,0,0,0.779635,0,0,0,5.55092e-05,0.00104317,5.25961e-05,0,0,0,0.78505,0,0,0,0.00175214,8.5938e-05,-0.00417786,1.73208e-05,4.93655,9.09179,4.15523,6.65895,
0.02,0.00648029,0.130779,0.00443441,8.09254e-05,7.36522e-06,0.0290699,0,0,0,0,0,0,0,0,0.754248,0.00502081,-1.9943,0.00461269,0,0,0,1.47641,0,0,0,0,0,0,1.46597,0,0,0,0.00432479,0.000776213,-0.0418117,0,0,0,0.801462,0,0,0,7.17128e-05,0.00137012,6.36815e-05,0,0,0,0.80727,0,0,0,0.00226367,0.000114444,-0.00550879,3.13284e-05,4.99935,8.75574,3.75639,6.55239,
0.0225,0.00722352,0.145325,0.00495716,8.94085e-05,9.59589e-06,0.0289657,0,0,0,0,0,0,0,0,0.754248,0.00502081,-1.9943,0.00461269,0,0,0,1.51085,0,0,0,0,0,0,1.49953,0,0,0,0.00339325,0.000892266,-0.0416935,0,0,0,0.823488,0,0,0,8.97747e-05,0.00173343,7.60737e-05,0,0,0,0.829696,0,0,0,0.00281379,0.000144159,-0.00700522,4.75833e-05,5.08509,8.96275,3.87766,6.55239,
