timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0.149637,0.121996,-0.136049,-0.112979,0,0,0,0,0.0990677,0.10945,-0.240992,0.560956,0,0,0,0.0990676,-0.10945,-0.240992,0.561541,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349881,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350045,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0.149706,0.122002,-0.136046,-0.112978,0,0,0,0,0,0,0,1.09351,0,0,0,0,0,0,1.09463,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682675,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682996,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.00570008,0.16041,0.00735937,4.093e-05,8.85509e-07,0.0297913,0,0,0,0,0.0978502,-3.51583e-05,-0.163709,-8.59567e-06,0.272322,-0.0416152,-0.212584,-0.0424362,0,0,0,1.30457,0,0,0,0,0,0,1.29095,0,0,0,0.0171998,0.000318379,-0.0133512,0,0,0,0.409126,0,0,0,1.52133e-05,0.000397748,1.99195e-05,0,0,0,0.417739,0,0,0,0.00120604,3.41868e-05,-0.00153813,7.6445e-06,7.6762,124.264,116.588,19.7598,
0.0075,0.0111028,0.321539,0.0142952,0.000129666,2.41677e-06,0.0298407,0,0,0,0,0.095166,-0.000123999,-0.160644,-2.75962e-05,0.272322,-0.0416152,-0.212584,-0.0424362,0,0,0,1.50061,0,0,0,0,0,0,1.47442,0,0,0,0.0354946,0.000612507,0.0197335,0,0,0,0.205022,0,0,0,4.29712e-05,0.0012016,5.5657e-05,0,0,0,0.21451,0,0,0,0.00389022,0.000123028,-0.00460313,2.6645e-05,9.08422,134.176,125.092,19.7598,
0.01,0.0160508,0.458724,0.0259122,0.000257901,5.03794e-06,0.0299584,0,0,0,0,0.0913142,-0.00022866,-0.156009,-6.72617e-05,0.837674,-0.028616,-0.160752,-0.0231286,0,0,0,1.7034,0,0,0,0,0,0,1.67246,0,0,0,0.0512937,0.00104846,0.0470869,0,0,0,0.344765,0,0,0,8.30913e-05,0.00234841,0.000120437,0,0,0,0.339059,0,0,0,0.00785159,0.000204858,-0.00907206,4.14083e-05,7.88395,133.97,126.086,19.01,
0.0125,0.0209855,0.596053,0.03759,0.000425249,8.75748e-06,0.0301439,0,0,0,0,0.0860802,-0.000303231,-0.150137,-7.78055e-05,0.837674,-0.028616,-0.160752,-0.0231286,0,0,0,1.88239,0,0,0,0,0,0,1.84784,0,0,0,0.0669392,0.00148782,0.0741926,0,0,0,0.594444,0,0,0,0.000135534,0.00383854,0.000214411,0,0,0,0.579921,0,0,0,0.0130856,0.000279429,-0.0149437,5.19521e-05,9.17107,142.965,133.794,19.01,
0.015,0.0242025,0.707933,0.0399375,0.000624825,1.32988e-05,0.0303812,0,0,0,0,0.0799977,-0.00046775,-0.142671,-0.00018265,1.33444,-0.0116713,-0.113876,0.0017563,0,0,0,2.05336,0,0,0,0,0,0,2.01781,0,0,0,0.0798306,0.00181652,0.0949169,0,0,0,0.793036,0,0,0,0.000196039,0.00560837,0.000314252,0,0,0,0.77791,0,0,0,0.0194327,0.000371495,-0.0220558,8.21697e-05,8.88075,133.974,125.094,17.6633,
0.0175,0.0274092,0.820043,0.0424574,0.000856037,1.86739e-05,0.0306694,0,0,0,0,0.0725435,-0.000576764,-0.13432,-0.000232265,1.33444,-0.0116713,-0.113876,0.0017563,0,0,0,2.20316,0,0,0,0,0,0,2.16934,0,0,0,0.0924848,0.00215006,0.115284,0,0,0,0.997961,0,0,0,0.000264586,0.00765848,0.000420386,0,0,0,0.986093,0,0,0,0.0268869,0.00048051,-0.0304066,0.000131785,10.0091,141.515,131.506,17.6633,
0.02,0.0302117,0.905841,0.0496342,0.00111181,2.48933e-05,0.0309917,0,0,0,0,0.0645764,-0.000758513,-0.124409,-0.000379628,1.75626,-0.00304525,-0.073865,0.0100563,0,0,0,2.33509,0,0,0,0,0,0,2.30327,0,0,0,0.102309,0.00248774,0.128942,0,0,0,1.13675,0,0,0,0.000340116,0.00992308,0.000544461,0,0,0,1.12603,0,0,0,0.0352366,0.000568199,-0.0398052,0.000182943,10.3368,124.494,114.157,15.9897,
0.0225,0.0330123,0.991903,0.0570275,0.00139141,3.19797e-05,0.0313472,0,0,0,0,0.0553373,-0.000823911,-0.113965,-0.000431999,1.75626,-0.00304525,-0.073865,0.0100563,0,0,0,2.44963,0,0,0,0,0,0,2.42405,0,0,0,0.111839,0.00283456,0.142177,0,0,0,1.27857,0,0,0,0.000422615,0.0124028,0.000687018,0,0,0,1.2692,0,0,0,0.0444756,0.000633597,-0.0502494,0.000235314,11.2686,130.247,118.978,15.9897,
