timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000142722,-0.001717,3.80977e-06,7.73861e-07,-2.35437e-09,0.0299422,0,0,0,0,0,0,0,0,0,0,0,0,0.0990663,0.10945,-0.240993,0.569258,0,0,0,0.0990663,-0.10945,-0.240993,0.569543,0,0,0,0.000309544,-9.41746e-07,-0.0231331,-0.165228,0.10845,-0.242773,0.347159,0,0,0,3.56805e-07,-4.2925e-06,9.52443e-09,-0.165228,-0.10845,-0.242773,0.347368,0,0,0,0,0,0,0,0,0,0,0,
0.0025,0.000282166,-0.00338128,8.72134e-06,-8.41852e-07,-6.82314e-09,0.0298264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10947,0,0,0,0,0,0,1.11002,0,0,0,-0.000646285,-1.78751e-06,-0.0463007,0,0,0,0.67738,0,0,0,1.06222e-06,-1.27457e-05,3.13278e-08,0,0,0,0.677777,0,0,0,0,0,0,0,0,0,0,0,
0.005,0.000650845,-0.00315357,0.000211329,2.54525e-05,4.26254e-08,0.0297247,0,0,0,0,0,0,0,0,0.379539,-0.0483386,-0.255297,-0.0473612,0,0,0,0.96463,0,0,0,0,0,0,0.965341,0,0,0,0.0105178,1.97794e-05,-0.0406793,0,0,0,0.585807,0,0,0,2.68934e-06,-2.06296e-05,5.59643e-07,0,0,0,0.586838,0,0,0,0,0,0,0,10.802,10.802,0,6.59759,
0.0075,0.00117137,-0.00311165,0.00036296,8.00968e-05,2.27337e-07,0.0296364,0,0,0,0,0,0,0,0,0.379539,-0.0483386,-0.255297,-0.0473612,0,0,0,0.82675,0,0,0,0,0,0,0.827783,0,0,0,0.0218577,7.38845e-05,-0.0353103,0,0,0,0.45941,0,0,0,5.61778e-06,-2.84088e-05,1.46702e-06,0,0,0,0.461001,0,0,0,0,0,0,0,10.3007,10.3007,0,6.59759,
0.01,0.00178504,-0.00304488,0.000498905,0.000162136,6.00197e-07,0.0295595,0,0,0,0,0,0,0,0,0.3697,-0.0469251,-0.254773,-0.0462982,0,0,0,0.710015,0,0,0,0,0,0,0.711332,0,0,0,0.0328159,0.000149144,-0.0307831,0,0,0,0.347786,0,0,0,1.00804e-05,-3.6021e-05,2.71424e-06,0,0,0,0.349978,0,0,0,0,0,0,0,9.27912,9.27912,0,6.39908,
0.0125,0.00243518,-0.00206236,0.000402045,0.000271177,1.04322e-06,0.0294928,0,0,0,0,0,0,0,0,0.3697,-0.0469251,-0.254773,-0.0462982,0,0,0,0.615792,0,0,0,0,0,0,0.617088,0,0,0,0.043616,0.000177208,-0.0266909,0,0,0,0.242948,0,0,0,1.61684e-05,-4.11769e-05,3.71927e-06,0,0,0,0.246016,0,0,0,0,0,0,0,9.14302,9.14302,0,6.39908,
0.015,0.00311973,-0.00114638,0.000306376,0.000406423,1.58584e-06,0.0294344,0,0,0,0,0,0,0,0,0.364695,-0.0457418,-0.258172,-0.0457855,0,0,0,0.572585,0,0,0,0,0,0,0.57445,0,0,0,0.0540985,0.00021705,-0.0233385,0,0,0,0.152912,0,0,0,2.39677e-05,-4.40428e-05,4.48508e-06,0,0,0,0.156727,0,0,0,0,0,0,0,8.75247,8.75247,0,6.21769,
0.0175,0.00375585,-0.000247316,0.000213628,0.000567916,2.20519e-06,0.0293844,0,0,0,0,0,0,0,0,0.364695,-0.0457418,-0.258172,-0.0457855,0,0,0,0.52999,0,0,0,0,0,0,0.532497,0,0,0,0.0645972,0.000247741,-0.0200157,0,0,0,0.0757078,0,0,0,3.33573e-05,-4.46611e-05,5.01895e-06,0,0,0,0.0790689,0,0,0,0,0,0,0,8.87482,8.87482,0,6.21769,
0.02,0.00438021,0.000627535,0.000141516,0.000754829,2.91427e-06,0.0293409,0,0,0,0,0,0,0,0,0.364102,-0.0449171,-0.265137,-0.0455409,0,0,0,0.500176,0,0,0,0,0,0,0.503209,0,0,0,0.0747653,0.000283631,-0.017398,0,0,0,0.0712237,0,0,0,4.43079e-05,-4.30923e-05,5.37246e-06,0,0,0,0.0688139,0,0,0,0,0,0,0,8.51357,8.51357,0,6.05089,
0.0225,0.00500253,0.00149459,6.74074e-05,0.000967222,3.71214e-06,0.0293039,0,0,0,0,0,0,0,0,0.364102,-0.0449171,-0.265137,-0.0455409,0,0,0,0.470809,0,0,0,0,0,0,0.474245,0,0,0,0.0849571,0.000319146,-0.0148029,0,0,0,0.13518,0,0,0,5.68142e-05,-3.93559e-05,5.54063e-06,0,0,0,0.12962,0,0,0,0,0,0,0,8.63084,8.63084,0,6.05089,
0.025,0.00557996,0.00236899,-3.33876e-06,0.00120433,4.59471e-06,0.0292717,0,0,0,0,0,0,0,0,0.363731,-0.0440411,-0.27557,-0.0449413,0,0,0,0.452801,0,0,0,0,0,0,0.456598,0,0,0,0.0948439,0.000353031,-0.0128538,0,0,0,0.203487,0,0,0,7.07641e-05,-3.34335e-05,5.53184e-06,0,0,0,0.196705,0,0,0,0,0,0,0,8.30469,8.30469,0,5.89624,
0.0275,0.00615537,0.00324359,-7.63856e-05,0.00146623,5.56103e-06,0.0292444,0,0,0,0,0,0,0,0,0.363731,-0.0440411,-0.27557,-0.0449413,0,0,0,0.434902,0,0,0,0,0,0,0.438983,0,0,0,0.104761,0.000386529,-0.0109225,0,0,0,0.274754,0,0,0,8.61526e-05,-2.53245e-05,5.34033e-06,0,0,0,0.267053,0,0,0,0,0,0,0,8.55952,8.55952,0,5.89624,
