timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0.00111123,-0.00483697,-0.00107517,0.00484006,0,0,0,0,0.0990677,0.10945,-0.240992,0.560955,0,0,0,0.0990676,-0.10945,-0.240992,0.56154,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.34988,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350042,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0.00117932,-0.00483182,-0.00107248,0.00484097,0,0,0,0,0,0,0,1.09352,0,0,0,0,0,0,1.09464,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682678,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682975,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.00372535,0.020553,0.0124991,3.78258e-05,-2.37158e-07,0.0297567,0,0,0,0,0.0342019,0.00440011,-0.034533,-0.00435931,0.421266,-0.0509574,-0.273852,-0.0503315,0,0,0,1.0829,0,0,0,0,0,0,1.07449,0,0,0,0.0159581,-0.000130688,-0.0272198,0,0,0,0.444478,0,0,0,1.02762e-05,4.81065e-05,3.27691e-05,0,0,0,0.455258,0,0,0,0.000704691,-2.95672e-06,-0.000373626,-3.78368e-05,11.595,15.9735,4.37842,10.1326,
0.0075,0.00716081,0.0418008,0.0245754,0.000120479,-9.49807e-07,0.0297368,0,0,0,0,0.0325192,0.00438566,-0.0337966,-0.00428732,0.421266,-0.0509574,-0.273852,-0.0503315,0,0,0,1.07557,0,0,0,0,0,0,1.05827,0,0,0,0.0330614,-0.00028506,-0.00796033,0,0,0,0.182756,0,0,0,2.81785e-05,0.000152608,9.42075e-05,0,0,0,0.202153,0,0,0,0.00238742,1.14865e-05,-0.00110997,-0.000109829,11.8141,16.9398,5.12574,10.1326,
0.01,0.00926742,0.0626467,0.0278655,0.000241594,-1.90472e-06,0.0297561,0,0,0,0,0.0301066,0.00434492,-0.0327214,-0.00420673,0.469856,-0.0411194,-0.258578,-0.0269079,0,0,0,1.07917,0,0,0,0,0,0,1.05677,0,0,0,0.0484457,-0.000381965,0.00774344,0,0,0,0.120075,0,0,0,5.13491e-05,0.000309225,0.000163871,0,0,0,0.109685,0,0,0,0.00479997,5.22288e-05,-0.0021852,-0.000190416,10.765,15.4818,4.71677,9.2755,
0.0125,0.0113755,0.0835282,0.031196,0.000401205,-3.09877e-06,0.0298146,0,0,0,0,0.0269653,0.0042781,-0.0313075,-0.00411746,0.469856,-0.0411194,-0.258578,-0.0269079,0,0,0,1.08141,0,0,0,0,0,0,1.05456,0,0,0,0.0638444,-0.00047762,0.0233733,0,0,0,0.311783,0,0,0,7.97929e-05,0.000518045,0.00024186,0,0,0,0.283322,0,0,0,0.0079413,0.000119047,-0.0035991,-0.000279688,11.3683,16.6482,5.27984,9.2755,
0.015,0.0129835,0.104945,0.033899,0.00059497,-4.26328e-06,0.0299033,0,0,0,0,0.0232705,0.00420071,-0.0295828,-0.0040224,0.523821,-0.0373501,-0.247594,-0.0177114,0,0,0,1.08206,0,0,0,0,0,0,1.05383,0,0,0,0.077506,-0.000465806,0.0354962,0,0,0,0.484166,0,0,0,0.000112261,0.000780407,0.000326605,0,0,0,0.450848,0,0,0,0.0116361,0.000196445,-0.00532374,-0.000374753,10.5565,14.9158,4.35925,8.42913,
0.0175,0.0146,0.12642,0.0366781,0.000822943,-5.39329e-06,0.0300222,0,0,0,0,0.0190234,0.0041131,-0.0275478,-0.00392135,0.523821,-0.0373501,-0.247594,-0.0177114,0,0,0,1.08189,0,0,0,0,0,0,1.05271,0,0,0,0.0911892,-0.000452,0.0475471,0,0,0,0.660353,0,0,0,0.000148777,0.00109646,0.000418297,0,0,0,0.622818,0,0,0,0.0158832,0.000284047,-0.00735882,-0.000475796,11.337,16.0709,4.73395,8.42913,
0.02,0.0159062,0.148691,0.0388154,0.00108086,-6.13672e-06,0.0301628,0,0,0,0,0.0144145,0.00403173,-0.0252311,-0.00381733,0.587134,-0.0334218,-0.240305,-0.0100852,0,0,0,1.0714,0,0,0,0,0,0,1.04285,0,0,0,0.103168,-0.000297375,0.0562567,0,0,0,0.793151,0,0,0,0.000188567,0.00146818,0.00051533,0,0,0,0.753199,0,0,0,0.0204921,0.000365423,-0.00967547,-0.000579825,10.6574,14.1463,3.48886,7.57685,
0.0225,0.0172113,0.171024,0.0409959,0.00136878,-6.50208e-06,0.0303251,0,0,0,0,0.00944487,0.00395656,-0.0226332,-0.00371018,0.587134,-0.0334218,-0.240305,-0.0100852,0,0,0,1.06019,0,0,0,0,0,0,1.0332,0,0,0,0.115166,-0.000146144,0.0649027,0,0,0,0.927354,0,0,0,0.00023163,0.00189574,0.000617811,0,0,0,0.885101,0,0,0,0.0254617,0.000440593,-0.0122734,-0.000686972,11.2196,14.923,3.70341,7.57685,
