timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000142722,-0.001717,3.80977e-06,7.73861e-07,-2.35437e-09,0.0299422,0,0,0,0,0,0,0,0,0,0,0,0,0.0990663,0.10945,-0.240993,0.569259,0,0,0,0.0990663,-0.10945,-0.240993,0.569543,0,0,0,0.000309544,-9.41746e-07,-0.0231331,-0.165228,0.10845,-0.242773,0.347159,0,0,0,3.56805e-07,-4.2925e-06,9.52443e-09,-0.165228,-0.10845,-0.242773,0.347371,0,0,0,0,0,0,0,0,0,0,0,
0.0025,0.000282166,-0.00338128,8.72134e-06,-8.41852e-07,-6.82314e-09,0.0298264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10946,0,0,0,0,0,0,1.11003,0,0,0,-0.000646285,-1.78751e-06,-0.0463007,0,0,0,0.677391,0,0,0,1.06222e-06,-1.27457e-05,3.13278e-08,0,0,0,0.677783,0,0,0,0,0,0,0,0,0,0,0,
0.005,0.000908331,-0.00302489,0.000231641,2.32093e-05,1.87436e-07,0.0297195,0,0,0,0,0,0,0,0,0.336565,-0.0457871,-0.237254,-0.0447415,0,0,0,1.0145,0,0,0,0,0,0,1.01494,0,0,0,0.00962044,7.77037e-05,-0.0427651,0,0,0,0.619944,0,0,0,3.33305e-06,-2.03079e-05,6.1042e-07,0,0,0,0.621067,0,0,0,0,0,0,0,9.55592,9.55592,0,6.11247,
0.0075,0.00115438,-0.00285422,0.000448596,7.33659e-05,4.05525e-07,0.0296208,0,0,0,0,0,0,0,0,0.336565,-0.0457871,-0.237254,-0.0447415,0,0,0,0.926034,0,0,0,0,0,0,0.9266,0,0,0,0.0200627,8.72355e-05,-0.0394831,0,0,0,0.527584,0,0,0,6.21902e-06,-2.74435e-05,1.73189e-06,0,0,0,0.529092,0,0,0,0,0,0,0,9.20379,9.20379,0,6.11247,
0.01,0.00160438,-0.00263253,0.000634869,0.000148894,7.51566e-07,0.0295287,0,0,0,0,0,0,0,0,0.328164,-0.0446237,-0.238136,-0.0439213,0,0,0,0.853726,0,0,0,0,0,0,0.854468,0,0,0,0.0302114,0.000138416,-0.0368414,0,0,0,0.446289,0,0,0,1.023e-05,-3.40248e-05,3.31903e-06,0,0,0,0.448258,0,0,0,0,0,0,0,8.47152,8.47152,0,5.96068,
0.0125,0.00217932,-0.00244165,0.000809123,0.000249813,1.28562e-06,0.0294431,0,0,0,0,0,0,0,0,0.328164,-0.0446237,-0.238136,-0.0439213,0,0,0,0.782832,0,0,0,0,0,0,0.783722,0,0,0,0.0403676,0.000213623,-0.0342404,0,0,0,0.366175,0,0,0,1.56783e-05,-4.01289e-05,5.34178e-06,0,0,0,0.368668,0,0,0,0,0,0,0,8.16598,8.16598,0,5.96068,
0.015,0.00270216,-0.00131726,0.000612307,0.000375038,1.792e-06,0.0293616,0,0,0,0,0,0,0,0,0.322424,-0.0434032,-0.24264,-0.0433162,0,0,0,0.740793,0,0,0,0,0,0,0.741901,0,0,0,0.05009,0.000202549,-0.0326041,0,0,0,0.301043,0,0,0,2.24337e-05,-4.34221e-05,6.87243e-06,0,0,0,0.304427,0,0,0,0,0,0,0,7.77039,7.77039,0,5.81932,
0.0175,0.003337,-0.000243674,0.000550705,0.000524662,2.39447e-06,0.0292841,0,0,0,0,0,0,0,0,0.322424,-0.0434032,-0.24264,-0.0433162,0,0,0,0.728803,0,0,0,0,0,0,0.730516,0,0,0,0.0598497,0.00024099,-0.0309919,0,0,0,0.237267,0,0,0,3.07763e-05,-4.40313e-05,8.24902e-06,0,0,0,0.241399,0,0,0,0,0,0,0,7.88625,7.88625,0,5.81932,
0.02,0.00394311,0.000891402,0.000504553,0.000698063,3.0958e-06,0.0292093,0,0,0,0,0,0,0,0,0.318959,-0.0428435,-0.250804,-0.0431269,0,0,0,0.726302,0,0,0,0,0,0,0.728439,0,0,0,0.0693603,0.000280533,-0.0299035,0,0,0,0.18367,0,0,0,4.06341e-05,-4.18028e-05,9.51015e-06,0,0,0,0.188368,0,0,0,0,0,0,0,7.66314,7.66314,0,5.69327,
0.0225,0.00450776,0.00200658,0.000460522,0.000895289,3.87634e-06,0.0291372,0,0,0,0,0,0,0,0,0.318959,-0.0428435,-0.250804,-0.0431269,0,0,0,0.723966,0,0,0,0,0,0,0.72658,0,0,0,0.0788904,0.000312214,-0.0288475,0,0,0,0.134394,0,0,0,5.19035e-05,-3.67864e-05,1.06611e-05,0,0,0,0.139332,0,0,0,0,0,0,0,7.77504,7.77504,0,5.69327,
0.025,0.0050634,0.00318463,0.000403024,0.00111575,4.74379e-06,0.0290665,0,0,0,0,0,0,0,0,0.317546,-0.0419919,-0.262088,-0.0425573,0,0,0,0.730091,0,0,0,0,0,0,0.733165,0,0,0,0.0881835,0.000346982,-0.0282821,0,0,0,0.100629,0,0,0,6.45621e-05,-2.88248e-05,1.16682e-05,0,0,0,0.104872,0,0,0,0,0,0,0,7.5611,7.5611,0,5.57394,
