timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0.187702,0.219265,-0.121762,-0.174592,0,0,0,0,0.0990677,0.10945,-0.240992,0.560954,0,0,0,0.0990676,-0.10945,-0.240992,0.56154,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349879,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350043,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0.18777,0.21927,-0.121759,-0.174591,0,0,0,0,0,0,0,1.09352,0,0,0,0,0,0,1.09464,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682673,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682975,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.00586544,0.161798,0.00789684,4.46046e-05,9.0663e-07,0.0298001,0,0,0,0,0.0978106,-3.3778e-05,-0.163687,-7.14294e-06,0.341628,-0.0455511,-0.237242,-0.0444964,0,0,0,1.2438,0,0,0,0,0,0,1.23003,0,0,0,0.0186696,0.000326827,-0.00983178,0,0,0,0.358255,0,0,0,1.56267e-05,0.000401218,2.12632e-05,0,0,0,0.367335,0,0,0,0.0012456,3.28065e-05,-0.00156045,6.19177e-06,9.42923,127.078,117.649,20.5352,
0.0075,0.0114339,0.324317,0.0153736,0.00014069,2.48041e-06,0.0298671,0,0,0,0,0.0950474,-0.000119834,-0.160577,-2.32309e-05,0.341628,-0.0455511,-0.237242,-0.0444964,0,0,0,1.38321,0,0,0,0,0,0,1.35663,0,0,0,0.0384342,0.000629513,0.0267673,0,0,0,0.202142,0,0,0,4.42123e-05,0.00121201,5.96965e-05,0,0,0,0.203753,0,0,0,0.00400877,0.000118863,-0.00467007,2.22797e-05,11.054,137.412,126.358,20.5352,
0.01,0.0165117,0.46334,0.0272752,0.000279713,5.16075e-06,0.0300106,0,0,0,0,0.0910781,-0.000223938,-0.155885,-6.13697e-05,0.887464,-0.0328472,-0.185019,-0.0261689,0,0,0,1.53705,0,0,0,0,0,0,1.50582,0,0,0,0.0556092,0.00107213,0.0574176,0,0,0,0.453474,0,0,0,8.54849e-05,0.00237036,0.000127884,0,0,0,0.440701,0,0,0,0.00808159,0.000198076,-0.0092055,3.35144e-05,9.57831,136.812,127.234,19.7109,
0.0125,0.0215778,0.602513,0.0392482,0.00046129,8.95757e-06,0.0302301,0,0,0,0,0.0857006,-0.000295991,-0.149925,-6.77501e-05,0.887464,-0.0328472,-0.185019,-0.0261689,0,0,0,1.672,0,0,0,0,0,0,1.63693,0,0,0,0.0726306,0.00151873,0.0878165,0,0,0,0.767698,0,0,0,0.000139409,0.00387664,0.000226004,0,0,0,0.747488,0,0,0,0.0134591,0.00027013,-0.0151655,3.98949e-05,11.0395,146.152,135.113,19.7109,
0.015,0.0248934,0.71669,0.0418845,0.000678288,1.36283e-05,0.0305092,0,0,0,0,0.0794385,-0.000461402,-0.142369,-0.000171703,1.36475,-0.0168068,-0.137765,-0.00104604,0,0,0,1.80625,0,0,0,0,0,0,1.77129,0,0,0,0.0867992,0.00186829,0.111606,0,0,0,1.01159,0,0,0,0.000201642,0.00566837,0.000330711,0,0,0,0.991998,0,0,0,0.0199729,0.000359309,-0.022387,6.54765e-05,10.4414,136.471,126.03,18.2854,
0.0175,0.0282015,0.831102,0.0447101,0.00093011,1.91872e-05,0.0308467,0,0,0,0,0.071795,-0.000567053,-0.133887,-0.000216179,1.36475,-0.0168068,-0.137765,-0.00104604,0,0,0,1.92431,0,0,0,0,0,0,1.89006,0,0,0,0.100729,0.00222356,0.135036,0,0,0,1.2637,0,0,0,0.000272173,0.00774612,0.000442477,0,0,0,1.24442,0,0,0,0.0276165,0.00046496,-0.0308681,0.000109953,11.7026,144.268,132.566,18.2854,
0.02,0.0308817,0.919873,0.0507272,0.00120941,2.56924e-05,0.0312255,0,0,0,0,0.0636095,-0.000754241,-0.123854,-0.000367381,1.7584,-0.00833602,-0.0977046,0.0134868,0,0,0,2.03026,0,0,0,0,0,0,1.99797,0,0,0,0.111722,0.0026021,0.151511,0,0,0,1.43713,0,0,0,0.000349395,0.0100458,0.000569281,0,0,0,1.41964,0,0,0,0.0361675,0.000552862,-0.0404172,0.000159725,11.6859,126.226,114.54,16.5074,
0.0225,0.0335701,1.00891,0.0570223,0.00151545,3.31698e-05,0.0316444,0,0,0,0,0.054158,-0.000823149,-0.113239,-0.000421948,1.7584,-0.00833602,-0.0977046,0.0134868,0,0,0,2.12634,0,0,0,0,0,0,2.09488,0,0,0,0.122416,0.00299092,0.167561,0,0,0,1.61579,0,0,0,0.000433322,0.0125681,0.000711817,0,0,0,1.60142,0,0,0,0.045619,0.00062177,-0.0510322,0.000214292,12.7095,132.141,119.432,16.5074,
