timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0.0323411,-0.00384534,-0.0323051,0.00384843,0,0,0,0,0.0990677,0.10945,-0.240992,0.560956,0,0,0,0.0990676,-0.10945,-0.240992,0.561542,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.34988,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350043,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0.0324092,-0.00384019,-0.0323024,0.00384934,0,0,0,0,0,0,0,1.09352,0,0,0,0,0,0,1.09466,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682673,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682996,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.00341143,0.0179205,0.0111351,3.24809e-05,-2.39402e-07,0.0297439,0,0,0,0,0.0342577,0.00439643,-0.034567,-0.00436315,0.341628,-0.0455511,-0.237242,-0.0444964,0,0,0,1.17134,0,0,0,0,0,0,1.16308,0,0,0,0.0138201,-0.000131585,-0.03233,0,0,0,0.521602,0,0,0,9.49143e-06,4.15251e-05,2.9359e-05,0,0,0,0.531479,0,0,0,0.000648917,7.21141e-07,-0.000339586,-3.39983e-05,9.10976,13.1155,4.00569,9.02949,
0.0075,0.00653304,0.0365343,0.0218457,0.000104441,-9.56668e-07,0.0296985,0,0,0,0,0.0326864,0.00437461,-0.0338987,-0.00429884,0.341628,-0.0455511,-0.237242,-0.0444964,0,0,0,1.24986,0,0,0,0,0,0,1.23276,0,0,0,0.0287841,-0.000286906,-0.0181757,0,0,0,0.329268,0,0,0,2.58242e-05,0.000132861,8.39731e-05,0,0,0,0.348136,0,0,0,0.00222021,2.25375e-05,-0.00100787,-9.83101e-05,8.95608,13.6245,4.66843,9.02949,
0.01,0.0085225,0.0552918,0.0253348,0.000210238,-1.89466e-06,0.0296812,0,0,0,0,0.0304276,0.00432848,-0.0329199,-0.00422525,0.385222,-0.0374301,-0.225978,-0.0241024,0,0,0,1.32822,0,0,0,0,0,0,1.306,0,0,0,0.0423187,-0.000375195,-0.00691927,0,0,0,0.193429,0,0,0,4.71321e-05,0.00027109,0.00014731,0,0,0,0.214452,0,0,0,0.00447898,6.86676e-05,-0.0019867,-0.000171899,8.30589,12.6226,4.31676,8.31765,
0.0125,0.0105119,0.0740743,0.0288544,0.000349893,-3.05092e-06,0.0296918,0,0,0,0,0.0274823,0.00425821,-0.0316307,-0.00414232,0.385222,-0.0374301,-0.225978,-0.0241024,0,0,0,1.40203,0,0,0,0,0,0,1.37518,0,0,0,0.0558621,-0.000462506,0.00426064,0,0,0,0.128442,0,0,0,7.34157e-05,0.000456276,0.000219445,0,0,0,0.133696,0,0,0,0.00742433,0.000138939,-0.00327589,-0.000254829,8.79438,13.6157,4.82132,8.31765,
0.015,0.0120301,0.0938394,0.0316127,0.000519747,-4.17334e-06,0.0297232,0,0,0,0,0.0240111,0.00417771,-0.0300537,-0.00405332,0.435361,-0.0340698,-0.218533,-0.015392,0,0,0,1.4648,0,0,0,0,0,0,1.43658,0,0,0,0.0679416,-0.000448969,0.0125592,0,0,0,0.187306,0,0,0,0.000103499,0.000690874,0.000298475,0,0,0,0.170859,0,0,0,0.0108955,0.000219441,-0.00485292,-0.000343829,8.24359,12.2606,4.01698,7.60438,
0.0175,0.013554,0.113647,0.0344321,0.000719836,-5.25802e-06,0.0297751,0,0,0,0,0.0200151,0.00408729,-0.028189,-0.00395811,0.435361,-0.0340698,-0.218533,-0.015392,0,0,0,1.52372,0,0,0,0,0,0,1.49403,0,0,0,0.0800354,-0.00043387,0.0207763,0,0,0,0.286917,0,0,0,0.000137396,0.000974992,0.000384552,0,0,0,0.259928,0,0,0,0.0148915,0.000309863,-0.00671754,-0.000439044,8.65556,13.0136,4.35805,7.60438,
0.02,0.0145979,0.134748,0.0359942,0.000946523,-6.14736e-06,0.0298407,0,0,0,0,0.0156704,0.00399513,-0.0260603,-0.00386084,0.491949,-0.0306707,-0.21451,-0.008674,0,0,0,1.56571,0,0,0,0,0,0,1.53652,0,0,0,0.090675,-0.000355737,0.026228,0,0,0,0.365137,0,0,0,0.000173912,0.00131186,0.000474533,0,0,0,0.334614,0,0,0,0.0192361,0.000402019,-0.00884626,-0.000536306,8.18274,11.4341,3.25131,6.87607,
0.0225,0.0156527,0.155892,0.0376439,0.00119984,-6.8369e-06,0.0299197,0,0,0,0,0.010978,0.00390166,-0.0236678,-0.00376132,0.491949,-0.0306707,-0.21451,-0.008674,0,0,0,1.60485,0,0,0,0,0,0,1.57605,0,0,0,0.101328,-0.000275818,0.0316013,0,0,0,0.445703,0,0,0,0.000213074,0.00170159,0.000568634,0,0,0,0.412269,0,0,0,0.0239286,0.000495489,-0.0112388,-0.000635834,8.51919,11.9706,3.45144,6.87607,
