timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0.0264745,0.0307864,-0.0264384,-0.0307833,0,0,0,0,0.0990677,0.10945,-0.240992,0.560955,0,0,0,0.0990676,-0.10945,-0.240992,0.561545,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349879,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350041,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0.0265426,0.0307915,-0.0264358,-0.0307823,0,0,0,0,0,0,0,1.09353,0,0,0,0,0,0,1.09466,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682681,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682982,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.0015281,0.0201376,0.0138349,2.60985e-05,3.95085e-06,0.0297308,0,0,0,0,-0.000133748,-0.0349489,0.000235887,0.0351832,0.341628,-0.0455511,-0.237242,-0.0444964,0,0,0,1.04153,0,0,0,0,0,0,1.06913,0,0,0,0.0112672,0.00154452,-0.0375756,0,0,0,0.579922,0,0,0,4.78314e-06,4.7068e-05,3.61085e-05,0,0,0,0.575715,0,0,0,0.000133748,-0.000228298,-0.000235887,-6.00843e-06,9.32339,9.99257,0.669177,7.2706,
0.0075,0.00277029,0.0409519,0.0272295,8.52968e-05,1.16098e-05,0.0296591,0,0,0,0,-0.000674997,-0.0345127,0.000696818,0.0351915,0.341628,-0.0455511,-0.237242,-0.0444964,0,0,0,0.995213,0,0,0,0,0,0,1.04855,0,0,0,0.0236793,0.00306356,-0.0286566,0,0,0,0.44312,0,0,0,1.17091e-05,0.000149448,0.000104182,0,0,0,0.434444,0,0,0,0.000674997,-0.0006645,-0.000696818,-1.43114e-05,8.71743,9.47966,0.762228,7.2706,
0.01,0.00211812,0.0592388,0.022521,0.00017338,2.16891e-05,0.0296054,0,0,0,0,-0.00147373,-0.0339656,0.00136547,0.0351567,0.40206,-0.0237503,-0.230078,-0.0315532,0,0,0,0.963768,0,0,0,0,0,0,1.04178,0,0,0,0.0352333,0.00403172,-0.0215152,0,0,0,0.337414,0,0,0,1.70079e-05,0.000297545,0.000160484,0,0,0,0.320041,0,0,0,0.00147373,-0.00121164,-0.00136547,2.05272e-05,8.09226,8.71479,0.62253,6.83841,
0.0125,0.00150649,0.077527,0.0179138,0.00029035,3.42054e-05,0.0295693,0,0,0,0,-0.0025301,-0.0333054,0.00224177,0.0350789,0.40206,-0.0237503,-0.230078,-0.0315532,0,0,0,0.929075,0,0,0,0,0,0,1.0351,0,0,0,0.046788,0.00500653,-0.0144366,0,0,0,0.237812,0,0,0,2.0783e-05,0.000491362,0.000205268,0,0,0,0.214398,0,0,0,0.0025301,-0.00187181,-0.00224177,9.82838e-05,8.38263,9.06693,0.684305,6.83841,
0.015,0.000733754,0.0937448,0.0107955,0.000434187,4.8518e-05,0.0295466,0,0,0,0,-0.00378529,-0.0325672,0.00330401,0.0349546,0.457409,-0.0182001,-0.226632,-0.0436384,0,0,0,0.894295,0,0,0,0,0,0,1.03335,0,0,0,0.057535,0.00572507,-0.00908062,0,0,0,0.171912,0,0,0,2.26349e-05,0.000725725,0.000232255,0,0,0,0.150901,0,0,0,0.00378529,-0.00260999,-0.00330401,0.000222639,7.90317,8.41716,0.513992,6.38934,
0.0175,0.000115654,0.110015,0.00452141,0.000604832,6.48583e-05,0.029537,0,0,0,0,-0.00524117,-0.0317515,0.00455206,0.0347853,0.457409,-0.0182001,-0.226632,-0.0436384,0,0,0,0.884204,0,0,0,0,0,0,1.03244,0,0,0,0.0682578,0.00653609,-0.0038167,0,0,0,0.13385,0,0,0,2.29518e-05,0.00100076,0.000243555,0,0,0,0.135774,0,0,0,0.00524117,-0.00342573,-0.00455206,0.000391905,8.16572,8.71604,0.550319,6.38934,
0.02,-0.00061628,0.124619,-0.00225736,0.000800233,8.26058e-05,0.0295364,0,0,0,0,-0.00683581,-0.0308881,0.00596386,0.0345733,0.506302,-0.0155147,-0.226624,-0.0583948,0,0,0,0.889811,0,0,0,0,0,0,1.03563,0,0,0,0.0781605,0.007099,-0.000257889,0,0,0,0.140792,0,0,0,2.14519e-05,0.00131231,0.000237907,0,0,0,0.168599,0,0,0,0.00683581,-0.00428914,-0.00596386,0.00060392,7.76073,8.15653,0.395802,6.02194,
0.0225,-0.00134782,0.139224,-0.00907724,0.00102042,0.00010175,0.0295445,0,0,0,0,-0.00856918,-0.0299775,0.00753932,0.0343184,0.506302,-0.0155147,-0.226624,-0.0583948,0,0,0,0.900587,0,0,0,0,0,0,1.03882,0,0,0,0.0880732,0.0076576,0.00325031,0,0,0,0.173092,0,0,0,1.81386e-05,0.00166037,0.000215208,0,0,0,0.221908,0,0,0,0.00856918,-0.00519968,-0.00753932,0.000858781,7.99437,8.40968,0.415309,6.02194,
0.025,-0.00192667,0.152221,-0.0148353,0.0012635,0.000121859,0.0295575,0,0,0,0,-0.0103762,-0.0290325,0.00925603,0.0340268,0.552579,-0.0141509,-0.229788,-0.0720996,0,0,0,0.916418,0,0,0,0,0,0,1.04296,0,0,0,0.0972315,0.00804359,0.00519928,0,0,0,0.207222,0,0,0,1.33937e-05,0.00204092,0.000178113,0,0,0,0.267745,0,0,0,0.0103762,-0.00614468,-0.00925603,0.00115044,7.64632,8.03237,0.386049,5.83245,
0.0275,-0.00276395,0.165211,-0.0215438,0.00152949,0.000142707,0.0295753,0,0,0,0,-0.0122571,-0.0280634,0.0111139,0.0336963,0.552579,-0.0141509,-0.229788,-0.0720996,0,0,0,0.933877,0,0,0,0,0,0,1.04696,0,0,0,0.106397,0.0083394,0.00710284,0,0,0,0.244803,0,0,0,6.57556e-06,0.00245395,0.000124244,0,0,0,0.31628,0,0,0,0.0122571,-0.0071138,-0.0111139,0.00148089,7.8455,8.24775,0.40225,5.83245,
0.03,-0.00341467,0.176372,-0.0268917,0.00181667,0.000163948,0.0295943,0,0,0,0,-0.0141483,-0.0270792,0.0130898,0.0333337,0.59971,-0.0138104,-0.235693,-0.0836346,0,0,0,0.952188,0,0,0,0,0,0,1.06233,0,0,0,0.114871,0.00849618,0.00761311,0,0,0,0.271767,0,0,0,-1.85124e-06,0.00289488,5.70025e-05,0,0,0,0.350181,0,0,0,0.0141483,-0.00809805,-0.0130898,0.00184352,7.54043,7.99361,0.453182,5.69197,
0.0325,-0.00397753,0.187541,-0.0318749,0.00212507,0.000185687,0.0296145,0,0,0,0,-0.0160504,-0.0260806,0.0151835,0.0329396,0.59971,-0.0138104,-0.235693,-0.0836346,0,0,0,0.971012,0,0,0,0,0,0,1.07987,0,0,0,0.123362,0.00869572,0.00806996,0,0,0,0.299191,0,0,0,-1.16663e-05,0.00336374,-2.26986e-05,0,0,0,0.385281,0,0,0,0.0160504,-0.00909659,-0.0151835,0.00223762,7.70834,8.17818,0.469837,5.69197,
0.035,-0.00415288,0.196712,-0.0346843,0.00245321,0.000207844,0.0296327,0,0,0,0,-0.017906,-0.0250698,0.0173715,0.0325221,0.64405,-0.0139022,-0.244491,-0.0929069,0,0,0,0.989896,0,0,0,0,0,0,1.08232,0,0,0,0.131255,0.00886298,0.00729379,0,0,0,0.315913,0,0,0,-2.19083e-05,0.00385552,-0.000109424,0,0,0,0.406802,0,0,0,0.017906,-0.0101074,-0.0173715,0.00265515,7.44646,8.14433,0.697871,5.71942,
