timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0,0,0,0,0,0,0,0,0.0990677,0.10945,-0.240992,0.560956,0,0,0,0.0990676,-0.10945,-0.240992,0.561537,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349877,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350041,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09351,0,0,0,0,0,0,1.09465,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682672,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682982,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.0026889,0.0199112,0.0121932,2.59614e-05,4.15846e-07,0.0297309,0,0,0,0,0,0,0,0,0.341628,-0.0455511,-0.237242,-0.0444964,0,0,0,1.05873,0,0,0,0,0,0,1.05746,0,0,0,0.0112124,0.000130514,-0.0375274,0,0,0,0.573653,0,0,0,7.68512e-06,4.65019e-05,3.20043e-05,0,0,0,0.580914,0,0,0,0.00014301,-4.63714e-05,-0.000234782,-3.46388e-05,9.32582,9.55,0.224184,6.80194,
0.0075,0.00508772,0.040499,0.0239559,8.4885e-05,1.00758e-06,0.0296595,0,0,0,0,0,0,0,0,0.341628,-0.0455511,-0.237242,-0.0444964,0,0,0,1.02919,0,0,0,0,0,0,1.02564,0,0,0,0.0235694,0.000236693,-0.0285601,0,0,0,0.430702,0,0,0,2.04046e-05,0.000147749,9.18939e-05,0,0,0,0.44463,0,0,0,0.000702773,-0.000118717,-0.000693505,-0.00010022,8.72156,9.01349,0.291931,6.80194,
0.01,0.00587483,0.0591601,0.0230181,0.000172201,1.47033e-06,0.0296054,0,0,0,0,0,0,0,0,0.401019,-0.0351049,-0.230063,-0.0245896,0,0,0,1.00585,0,0,0,0,0,0,1.00043,0,0,0,0.0349266,0.000185101,-0.021654,0,0,0,0.32228,0,0,0,3.50943e-05,0.000295649,0.000149439,0,0,0,0.337271,0,0,0,0.00149553,-0.00017208,-0.00135561,-0.000162076,8.08413,8.26862,0.184489,6.26155,
0.0125,0.00655877,0.0778018,0.0217394,0.000287918,1.71976e-06,0.0295684,0,0,0,0,0,0,0,0,0.401019,-0.0351049,-0.230063,-0.0245896,0,0,0,0.983222,0,0,0,0,0,0,0.97548,0,0,0,0.0462867,9.97709e-05,-0.0147963,0,0,0,0.220995,0,0,0,5.14977e-05,0.000490154,0.000203786,0,0,0,0.236284,0,0,0,0.002521,-0.000202854,-0.00222105,-0.000219494,8.36444,8.5827,0.218264,6.26155,
0.015,0.00708188,0.0941867,0.0220645,0.000429993,1.76646e-06,0.0295442,0,0,0,0,0,0,0,0,0.458158,-0.0349468,-0.22672,-0.0237123,0,0,0,0.966635,0,0,0,0,0,0,0.957332,0,0,0,0.05683,1.86807e-05,-0.00968787,0,0,0,0.156906,0,0,0,6.92129e-05,0.00072562,0.000258946,0,0,0,0.17046,0,0,0,0.0037159,-0.000221606,-0.00326622,-0.000277406,7.8845,8.01786,0.133357,5.88563,
0.0175,0.00789977,0.110565,0.0234488,0.00059846,1.85638e-06,0.0295326,0,0,0,0,0,0,0,0,0.458158,-0.0349468,-0.22672,-0.0237123,0,0,0,0.949901,0,0,0,0,0,0,0.939869,0,0,0,0.0673865,3.59666e-05,-0.00462469,0,0,0,0.129545,0,0,0,8.89768e-05,0.00100203,0.000317566,0,0,0,0.134839,0,0,0,0.0050797,-0.000239073,-0.00449105,-0.000338039,8.12702,8.27416,0.147142,5.88563,
0.02,0.00829734,0.124601,0.0236636,0.000791588,1.85817e-06,0.02953,0,0,0,0,0,0,0,0,0.508246,-0.0332765,-0.226835,-0.0202997,0,0,0,0.939666,0,0,0,0,0,0,0.92892,0,0,0,0.0772515,7.17406e-07,-0.00105652,0,0,0,0.150625,0,0,0,0.00010974,0.00131353,0.000376721,0,0,0,0.146157,0,0,0,0.00656362,-0.000250513,-0.0058735,-0.000398644,7.7093,7.89018,0.180884,5.74876,
0.0225,0.00876739,0.13863,0.0241579,0.00100942,1.83106e-06,0.0295361,0,0,0,0,0,0,0,0,0.508246,-0.0332765,-0.226835,-0.0202997,0,0,0,0.929682,0,0,0,0,0,0,0.918304,0,0,0,0.0871313,-1.08457e-05,0.00246872,0,0,0,0.196138,0,0,0,0.000131684,0.00166011,0.000437112,0,0,0,0.184804,0,0,0,0.00816737,-0.000258611,-0.00741349,-0.000459821,7.92151,8.11624,0.194723,5.74876,
0.025,0.00932774,0.150306,0.0252119,0.0012505,2.01918e-06,0.0295479,0,0,0,0,0,0,0,0,0.552667,-0.0318693,-0.230037,-0.017333,0,0,0,0.925056,0,0,0,0,0,0,0.915206,0,0,0,0.096433,7.52505e-05,0.00471648,0,0,0,0.240251,0,0,0,0.000155033,0.00203587,0.000500136,0,0,0,0.225859,0,0,0,0.00985298,-0.000274916,-0.00909048,-0.000522607,7.55861,7.82567,0.267063,5.6549,
0.0275,0.00972414,0.162029,0.0253635,0.00151485,2.16118e-06,0.0295651,0,0,0,0,0,0,0,0,0.552667,-0.0318693,-0.230037,-0.017333,0,0,0,0.92136,0,0,0,0,0,0,0.915389,0,0,0,0.105741,5.67994e-05,0.00688036,0,0,0,0.287329,0,0,0,0.00017938,0.00244094,0.000563538,0,0,0,0.270707,0,0,0,0.011622,-0.000300007,-0.0109043,-0.000585224,7.74791,8.03004,0.282128,5.6549,
0.03,0.00979818,0.171572,0.0231515,0.00180109,1.99809e-06,0.0295846,0,0,0,0,0,0,0,0,0.594808,-0.030024,-0.235865,-0.0141826,0,0,0,0.931536,0,0,0,0,0,0,0.931803,0,0,0,0.114496,-6.52344e-05,0.00778189,0,0,0,0.322239,0,0,0,0.000203926,0.00286987,0.000621408,0,0,0,0.30469,0,0,0,0.0134525,-0.000331702,-0.0128352,-0.000641952,7.42758,7.80875,0.381163,5.57883,
0.0325,0.0100693,0.181453,0.0218905,0.00210904,1.77198e-06,0.0296055,0,0,0,0,0,0,0,0,0.594808,-0.030024,-0.235865,-0.0141826,0,0,0,0.962521,0,0,0,0,0,0,0.965245,0,0,0,0.123178,-9.04448e-05,0.00838539,0,0,0,0.354999,0,0,0,0.000229162,0.0033235,0.000676124,0,0,0,0.337053,0,0,0,0.015356,-0.00037051,-0.0148825,-0.000694756,7.60687,8.00452,0.397649,5.57883,
0.035,0.0104333,0.189267,0.0214681,0.00243757,1.69585e-06,0.0296256,0,0,0,0,0,0,0,0,0.633305,-0.0307203,-0.244669,-0.0142266,0,0,0,1.00266,0,0,0,0,0,0,1.00579,0,0,0,0.131415,-3.0452e-05,0.00802159,0,0,0,0.37746,0,0,0,0.000255316,0.00379667,0.000729784,0,0,0,0.359461,0,0,0,0.0173099,-0.000414057,-0.0170291,-0.000745833,7.35649,7.86281,0.506323,5.51841,
