timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,-0.0145514,0.0235299,-0.0900705,-0.00651926,0.00546652,0.0161982,0,0,0,0,0,0,0,0,0.850527,0.157741,-2.18521,-0.480801,0,0,0,0.770517,0,0,0,0,0,0,7.8358,0,0,0,-0.0419657,-0.0104381,-0.0514777,0,0,0,0.393031,0,0,0,-0.011335,-0.00816444,-0.00816445,0,0,0,0.38605,0,0,0,0,0,0,0,9.07207,9.07207,0,5.04505,
0.0025,-0.0100885,0.026933,-0.0874405,-0.00661784,0.00543671,0.0160657,0,0,0,0,0,0,0,0,0.850527,0.157741,-2.18521,-0.480801,0,0,0,0.788569,0,0,0,0,0,0,6.84755,0,0,0,-0.0394311,-0.0119227,-0.0529914,0,0,0,0.386925,0,0,0,-0.0113614,-0.00809597,-0.00838257,0,0,0,0.396874,0,0,0,0,0,0,0,8.9752,8.9752,0,5.04505,
0.005,0.00586848,-0.00262271,-0.092488,-0.00671994,0.00540186,0.0159215,0,0,0,0,0,0,0,0,0.859947,0.165226,-2.22082,-0.449093,0,0,0,0.799238,0,0,0,0,0,0,15.1959,0,0,0,-0.0408416,-0.0139428,-0.0576863,0,0,0,0.456721,0,0,0,-0.0113476,-0.00810116,-0.00861388,0,0,0,0.493939,0,0,0,0,0,0,0,14.129,14.129,0,3.39271,
0.0075,0.0221491,-0.0314869,-0.0986721,-0.00682587,0.00536148,0.0157647,0,0,0,0,0,0,0,0,0.859947,0.165226,-2.22082,-0.449093,0,0,0,0.814359,0,0,0,0.12726,-0.132341,-0.227314,26.2299,0,0,0,-0.0423725,-0.0161499,-0.0627055,0,0,0,0.528315,0,0,0,-0.0112929,-0.00817823,-0.00886123,0,0,0,0.593699,0,0,0,0,0,0,0,20.1704,20.1704,0,3.39271,
0.01,0.0305323,-0.075627,-0.0339843,-0.00690022,0.00533544,0.0156158,0,0,0,0,0,0,0,0,1.18231,0.0653202,-2.67096,-0.117835,0,0,0,0.764493,0,0,0,0,0,0,1.25666,0,0,0,-0.0297386,-0.0104185,-0.0595484,0,0,0,0.500099,0,0,0,-0.0112161,-0.00836648,-0.00894757,0,0,0,2.86675,0,0,0,0,0,0,0,7.95232,7.95232,0,4.50505,
0.0125,0.0552184,-0.0904394,-0.0354924,-0.00697741,0.00530167,0.015442,0,0,0,0,0,0,0,0,1.18231,0.0653202,-2.67096,-0.117835,0,0,0,0.857531,0,0,0,0,0,0,1.44217,0,0,0,-0.0308759,-0.0135058,-0.0695196,0,0,0,0.600856,0,0,0,-0.0110774,-0.00859146,-0.00903814,0,0,0,5.07373,0,0,0,0,0,0,0,9.63704,9.63704,0,4.50505,
0.015,0.0822911,-0.104904,-0.0343615,-0.00705919,0.00526114,0.0152427,0,0,0,0,0,0,0,0,1.15548,-0.0331699,-2.84885,-0.220613,0,0,0,0.95608,0,0,0,0,0,0,1.62403,0,0,0,-0.0327151,-0.0162132,-0.0797413,0,0,0,0.704875,0,0,0,-0.0108709,-0.00885231,-0.00912638,0,0,0,7.29269,0,0,0,0,0,0,0,12.5877,12.5877,0,4.86864,
0.0175,0.109058,-0.11929,-0.0330675,-0.00714532,0.00521366,0.0150177,0,0,0,0,0,0,0,0,1.15548,-0.0331699,-2.84885,-0.220613,0,0,0,1.06115,0,0,0,0,0,0,1.80368,0,0,0,-0.034451,-0.0189924,-0.0900064,0,0,0,0.807435,0,0,0,-0.0105972,-0.00914883,-0.00921188,0,0,0,9.11973,-0.173773,-0.111155,-0.217708,0,0,0,0,14.7165,14.7165,0,4.86864,
0.02,0.113266,-0.121862,-0.0319574,-0.00724267,0.00515712,0.0147911,0,0,0,0,0,0,0,0,1.05409,0.408893,-3.09827,-0.794547,0,0,0,1.04922,0,0,0,0,0,0,1.81662,0,0,0,-0.0389394,-0.0226161,-0.0906065,0,0,0,0.79773,0,0,0,-0.010313,-0.00945175,-0.00929468,0,0,0,9.61227,0,0,0,0,0,0,0,23.7139,23.7139,0,7.86708,
0.0225,0.11733,-0.124274,-0.0307743,-0.00735113,0.0050914,0.014563,0,0,0,0,0,0,0,0,1.05409,0.408893,-3.09827,-0.794547,0,0,0,1.03431,0,0,0,0,0,0,1.83137,0,0,0,-0.0433825,-0.0262853,-0.0912756,0,0,0,0.797477,0,0,0,-0.0100186,-0.00976067,-0.0093746,0,0,0,10.0094,0,0,0,0,0,0,0,24.0517,24.0517,0,7.86708,
0.025,0.119894,-0.12449,-0.0284722,-0.00746781,0.00502065,0.014338,0,0,0,0,0,0,0,0,1.04993,0.410958,-3.10129,-0.782204,0,0,0,1.00198,0,0,0,0,0,0,1.80393,0,0,0,-0.0466726,-0.0283005,-0.0899645,0,0,0,0.77751,0,0,0,-0.00971779,-0.0100701,-0.0094488,0,0,0,9.18455,0,0,0,0,0,0,0,23.8675,23.8675,0,7.9585,
0.0275,0.122085,-0.124555,-0.0264628,-0.00759281,0.00494466,0.0141162,0,0,0,0,0,0,0,0,1.04993,0.410958,-3.10129,-0.782204,0,0,0,0.971022,0,0,0,0,0,0,1.77923,0,0,0,-0.0500012,-0.0303957,-0.0887382,0,0,0,0.758764,0,0,0,-0.00941144,-0.0103797,-0.00951801,0,0,0,8.41583,0,0,0,0,0,0,0,23.484,23.484,0,7.9585,
0.03,0.12349,-0.123447,-0.0239647,-0.00772434,0.00486634,0.0139002,0,0,0,0,0,0,0,0,1.04629,0.407687,-3.0853,-0.766374,0,0,0,0.931228,0,0,0,0,0,0,1.73008,0,0,0,-0.0526109,-0.0313288,-0.086391,0,0,0,0.730031,0,0,0,-0.00910157,-0.0106866,-0.00958097,0,0,0,6.85754,0,0,0,0,0,0,0,24.9579,24.9579,0,8.18787,
0.0325,0.124918,-0.122319,-0.0217028,-0.00786251,0.0047857,0.0136899,0,0,0,0,0,0,0,0,1.04629,0.407687,-3.0853,-0.766374,0,0,0,0.892824,0,0,0,0,0,0,1.68335,0,0,0,-0.0552679,-0.0322546,-0.0841233,0,0,0,0.702913,0,0,0,-0.0087881,-0.0109907,-0.00963829,0,0,0,5.29538,0,0,0,0,0,0,0,23.5721,23.5721,0,8.18787,
0.035,0.126983,-0.121507,-0.0194077,-0.00800685,0.00470385,0.0134853,0,0,0,0,0,0,0,0,1.04533,0.399801,-3.05699,-0.748433,0,0,0,0.856099,0,0,0,0,0,0,1.63432,0,0,0,-0.0577358,-0.0327402,-0.0818616,0,0,0,0.677414,0,0,0,-0.00846946,-0.0112927,-0.00968989,0,0,0,3.56745,0,0,0,0,0,0,0,22.3705,22.3705,0,8.20499,
0.0375,0.129379,-0.120744,-0.0172204,-0.00815738,0.00462094,0.0132861,0,0,0,0,0,0,0,0,1.04533,0.399801,-3.05699,-0.748433,0,0,0,0.820609,0,0,0,0,0,0,1.58703,0,0,0,-0.060214,-0.0331654,-0.0796651,0,0,0,0.653279,0,0,0,-0.0081448,-0.0115928,-0.00973604,0,0,0,1.78675,0,0,0,0,0,0,0,21.191,21.191,0,8.20499,
0.04,0.133191,-0.12133,-0.0151739,-0.00831454,0.0045364,0.0130905,0,0,0,0,0,0,0,0,1.04383,0.393741,-3.0303,-0.733238,0,0,0,0.793095,0,0,0,0,0,0,1.55325,0,0,0,-0.0628638,-0.0338143,-0.0782367,0,0,0,0.637869,0,0,0,-0.00781057,-0.0118943,-0.00977714,0,0,0,0.705039,0,0,0,0,0,0,0,20.4501,20.4501,0,8.05956,
0.0425,0.137227,-0.121919,-0.0132002,-0.0084783,0.00445028,0.0128983,0,0,0,0,0,0,0,0,1.04383,0.393741,-3.0303,-0.733238,0,0,0,0.766626,0,0,0,0,0,0,1.52118,0,0,0,-0.0655019,-0.0344483,-0.076872,0,0,0,0.623227,0,0,0,-0.00746622,-0.0121973,-0.00981337,0,0,0,1.3146,0,0,0,0,0,0,0,21.0422,21.0422,0,8.05956,
0.045,0.148072,-0.122114,-0.0107768,-0.0086429,0.00435376,0.0127164,0,0,0,0,0,0,0,0,1.4914,0.218283,-3.47002,-0.750875,0,0,0,0.686205,0,0,0,0,0,0,1.47943,0,0,0,-0.0658424,-0.0386105,-0.0727812,0,0,0,0.551985,0,0,0,-0.00709471,-0.0125007,-0.00984371,0,0,0,1.91499,0,0,0,0,0,0,0,25.1867,25.1867,0,9.09729,
0.0475,0.158906,-0.12226,-0.00843056,-0.00880832,0.00424671,0.0125445,0,0,0,0,0,0,0,0,1.4914,0.218283,-3.47002,-0.750875,0,0,0,0.607147,0,0,0,0,0,0,1.43996,0,0,0,-0.0661668,-0.04282,-0.0687648,0,0,0,0.481933,0,0,0,-0.00669609,-0.0128043,-0.00986836,0,0,0,2.55755,0,0,0,0,0,0,0,25.0266,25.0266,0,9.09729,
0.05,0.170608,-0.123931,-0.00537094,-0.00897506,0.00412875,0.0123805,0,0,0,0,0,0,0,0,1.4614,0.222313,-3.42757,-0.734207,0,0,0,0.538351,0,0,0,0,0,0,1.41351,0,0,0,-0.0666966,-0.0471841,-0.0655929,0,0,0,0.422208,0,0,0,-0.00626814,-0.0131119,-0.00988555,0,0,0,2.56991,0,0,0,0,0,0,0,24.2249,24.2249,0,8.92316,
0.0525,0.182313,-0.12555,-0.0023374,-0.00914307,0.00399975,0.0122243,0,0,0,0,0,0,0,0,1.4614,0.222313,-3.42757,-0.734207,0,0,0,0.47038,0,0,0,0,0,0,1.3889,0,0,0,-0.0672046,-0.0515996,-0.0624908,0,0,0,0.363387,0,0,0,-0.00581085,-0.0134235,-0.00989537,0,0,0,2.58259,0,0,0,0,0,0,0,24.0908,24.0908,0,8.92316,
0.055,0.190372,-0.128522,0.00121509,-0.00931531,0.00386374,0.0120675,0,0,0,0,0,0,0,0,1.12103,0.33051,-3.04031,-0.70908,0,0,0,0.454738,0,0,0,0,0,0,1.39966,0,0,0,-0.0688956,-0.0544012,-0.0626982,0,0,0,0.354177,0,0,0,-0.00533332,-0.0137425,-0.00989646,0,0,0,2.42463,0,0,0,0,0,0,0,19.7541,19.7541,0,7.80472,
0.0575,0.198452,-0.131438,0.00477635,-0.00949173,0.00372061,0.0119101,0,0,0,0,0,0,0,0,1.12103,0.33051,-3.04031,-0.70908,0,0,0,0.439874,0,0,0,0,0,0,1.41165,0,0,0,-0.0705668,-0.0572525,-0.0629668,0,0,0,0.345268,0,0,0,-0.0048355,-0.0140687,-0.0098888,0,0,0,2.27211,0,0,0,0,0,0,0,19.8057,19.8057,0,7.80472,
0.06,0.205677,-0.134336,0.0104752,-0.00967084,0.00357038,0.0117534,0,0,0,0,0,0,0,0,1.13326,0.317541,-3.05752,-0.718675,0,0,0,0.418553,0,0,0,0,0,0,1.41425,0,0,0,-0.0716445,-0.0600931,-0.0626788,0,0,0,0.32859,0,0,0,-0.00431947,-0.014402,-0.00986705,0,0,0,2.38236,0,0,0,0,0,0,0,19.6036,19.6036,0,7.80726,
0.0625,0.212913,-0.137169,0.0161652,-0.00985262,0.00341293,0.0115973,0,0,0,0,0,0,0,0,1.13326,0.317541,-3.05752,-0.718675,0,0,0,0.39797,0,0,0,0,0,0,1.41809,0,0,0,-0.0727108,-0.0629811,-0.0624464,0,0,0,0.312262,0,0,0,-0.00378522,-0.0147424,-0.00983121,0,0,0,2.496,0,0,0,0,0,0,0,19.6358,19.6358,0,7.80726,
0.065,0.218891,-0.13962,0.0239054,-0.0100353,0.00324808,0.0114438,0,0,0,0,0,0,0,0,1.15392,0.300504,-3.0812,-0.727514,0,0,0,0.36796,0,0,0,0,0,0,1.41001,0,0,0,-0.073066,-0.0659387,-0.0614112,0,0,0,0.284877,0,0,0,-0.00323585,-0.0150889,-0.00977614,0,0,0,3.02536,0,0,0,0,0,0,0,19.23,19.23,0,7.83703,
0.0675,0.223593,-0.142212,0.0282284,-0.0102181,0.00307671,0.0112915,0,0,0,0,0,0,0,0,1.15392,0.300504,-3.0812,-0.727514,0,0,0,0.345993,0,0,0,0,0,0,1.40935,0,0,0,-0.0731447,-0.0685474,-0.0608943,0,0,0,0.265814,0,0,0,-0.00267462,-0.0154418,-0.00971037,0,0,0,3.57196,0,0,0,0,0,0,0,19.1782,19.1782,0,7.83703,
