timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0,0,0,0,0,0,0,0,0.0990677,0.10945,-0.240992,0.560953,0,0,0,0.0990676,-0.10945,-0.240992,0.561539,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349877,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350045,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09352,0,0,0,0,0,0,1.09464,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682681,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682985,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.00135895,0.0166767,0.00383148,1.14166e-05,3.65509e-08,0.0297124,0,0,0,0,0,0,0,0,0.840887,-0.0337197,-1.17043,-0.00348093,0,0,0,1.17609,0,0,0,0,0,0,1.17427,0,0,0,0.00539443,-2.1204e-05,-0.0449371,0,0,0,0.69849,0,0,0,4.3602e-06,3.84157e-05,1.11e-05,0,0,0,0.70198,0,0,0,3.04163e-05,-8.5905e-06,-0.000194508,-1.11016e-05,5.11657,7.02775,1.91118,6.44294,
0.0075,0.00257352,0.0340457,0.00774613,4.1256e-05,-9.71457e-09,0.0296039,0,0,0,0,0,0,0,0,0.840887,-0.0337197,-1.17043,-0.00348093,0,0,0,1.26184,0,0,0,0,0,0,1.25769,0,0,0,0.0119358,-1.85062e-05,-0.0433715,0,0,0,0.678247,0,0,0,1.07941e-05,0.00012353,3.04652e-05,0,0,0,0.684826,0,0,0,0.000365259,-1.05515e-05,-0.000572686,-3.06972e-05,5.11665,7.18485,2.0682,6.44294,
0.01,-0.0242856,0.0424734,-0.0401277,6.79359e-05,1.2684e-05,0.0294727,0,0,0,0,0,0,0,0,1.196,-0.020516,-1.87255,0.152682,0,0,0,1.5243,0,0,0,0,0,0,1.44905,0,0,0,0.010672,0.00507749,-0.05251,0,0,0,4.48026,0,0,0,-4.99121e-05,0.000229714,-6.98583e-05,0,0,0,0.814254,0,0,0,0.000711307,4.69193e-05,-0.00112959,0.000156449,6.68608,11.0424,4.35633,6.60604,
0.0125,-0.0521415,0.0508975,-0.0916356,9.15966e-05,3.72163e-05,0.0293184,0,0,0,0,0,0,0,0,1.196,-0.020516,-1.87255,0.152682,0,0,0,1.78432,0,0,0,0,0,0,1.63704,0,0,0,0.00946427,0.00981291,-0.0616916,0,0,0,7.62524,0,0,0,-0.000180244,0.000356959,-0.000298959,0,0,0,0.940714,0,0,0,0.00107091,0.000201229,-0.0018651,0.000557486,9.35903,13.8633,4.5043,6.60604,
0.015,-0.0717967,0.0593191,-0.0698934,0.000108715,7.13823e-05,0.0291436,0,0,0,0,0,0,0,0,1.05631,-0.0782863,-2.03542,-0.019319,0,0,0,2.00739,0,0,0,0,0,0,1.78893,0,0,0,0.00684723,0.0136664,-0.0699491,0,0,0,10.2796,0,0,0,-0.000359727,0.000505246,-0.000473711,0,0,0,1.08056,0,0,0,0.00142014,0.000219491,-0.00279512,0.000937976,12.4477,17.2103,4.76265,6.72582,
0.0175,-0.0915766,0.067722,-0.0484273,0.000119688,0.000115129,0.0289477,0,0,0,0,0,0,0,0,1.05631,-0.0782863,-2.03542,-0.019319,0,0,0,2.22829,0,0,0,0,0,0,1.9405,0,0,0,0.00438927,0.0174985,-0.0783312,0,0,0,12.2787,-0.170864,0.106985,-0.232302,-0.000588678,0.000674518,-0.000594807,0,0,0,1.21789,0,0,0,0.00176147,0.000103256,-0.00391945,0.0012964,15.1978,20.1059,4.90809,6.72582,
0.02,-0.0941442,0.0809858,-0.042122,0.000124811,0.000162066,0.0287514,0,0,0,0,0,0,0,0,0.828769,-0.0199657,-2.11784,0.0484084,0,0,0,2.26397,0,0,0,0,0,0,1.96179,0,0,0,0.00204906,0.0187748,-0.0785385,0,0,0,12.5352,0,0,0,-0.000824063,0.000876944,-0.000700132,0,0,0,1.23973,0,0,0,0.0021377,-4.55594e-05,-0.00520595,0.00164124,14.383,18.8572,4.47411,7.77374,
0.0225,-0.0967856,0.0942781,-0.0361873,0.000124244,0.000212167,0.0285543,0,0,0,0,0,0,0,0,0.828769,-0.0199657,-2.11784,0.0484084,0,0,0,2.30168,0,0,0,0,0,0,1.98506,0,0,0,-0.000226647,0.0200406,-0.0788517,0,0,0,12.6686,0,0,0,-0.00106607,0.00111259,-0.000790609,0,0,0,1.26121,0,0,0,0.00255094,-0.000223936,-0.00665444,0.00197303,14.7648,19.3692,4.60439,7.77374,
