timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0.0332329,0.00615354,-0.0331968,0.00615138,0,0,0,0,0.0990677,0.10945,-0.240992,0.560956,0,0,0,0.0990676,-0.10945,-0.240992,0.561543,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349878,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350042,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0.0333009,0.0061587,-0.0331941,0.00615229,0,0,0,0,0,0,0,1.09352,0,0,0,0,0,0,1.09463,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682675,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682979,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.00271701,0.0126287,0.00855027,2.25782e-05,2.00697e-07,0.0297262,0,0,0,0,0.0343389,-0.00481588,-0.0346157,-0.00481175,0.517631,-0.0352473,-0.554201,-0.00938479,0,0,0,1.28658,0,0,0,0,0,0,1.28344,0,0,0,0.00985906,4.44543e-05,-0.0394083,0,0,0,0.63478,0,0,0,7.75537e-06,2.82955e-05,2.2897e-05,0,0,0,0.641485,0,0,0,0.000567733,-1.88244e-05,-0.000290892,-2.29552e-05,5.51584,10.8176,5.30176,8.04253,
0.0075,0.00514552,0.0259574,0.0166732,7.47313e-05,3.6291e-07,0.0296454,0,0,0,0,0.0329296,-0.00479863,-0.0340448,-0.00476953,0.517631,-0.0352473,-0.554201,-0.00938479,0,0,0,1.47722,0,0,0,0,0,0,1.47003,0,0,0,0.0208612,6.48853e-05,-0.0323249,0,0,0,0.552013,0,0,0,2.06193e-05,9.31891e-05,6.45798e-05,0,0,0,0.564859,0,0,0,0.00197697,-3.60767e-05,-0.000861795,-6.51797e-05,5.276,11.2566,5.98061,8.04253,
0.01,-0.0230824,0.0353752,-0.0342495,0.000129998,1.35636e-05,0.0295482,0,0,0,0,0.0307255,-0.00415741,-0.0327919,-0.00425216,1.16675,-0.134927,-1.57068,0.238487,0,0,0,1.8338,0,0,0,0,0,0,1.7501,0,0,0,0.0221066,0.00528026,-0.0388614,0,0,0,4.37568,0,0,0,-3.70799e-05,0.000181628,-2.10476e-05,0,0,0,0.66687,0,0,0,0.0037513,2.75956e-05,-0.0016849,0.000122352,6.65667,17.2927,10.6361,8.12399,
0.0125,-0.0522119,0.0448183,-0.088518,0.000188515,3.89631e-05,0.0294346,0,0,0,0,0.0285841,-0.00433644,-0.0317168,-0.00467581,1.16675,-0.134927,-1.57068,0.238487,0,0,0,2.17938,0,0,0,0,0,0,2.02028,0,0,0,0.0234068,0.0101598,-0.0454607,0,0,0,7.51986,0,0,0,-0.000167591,0.000293677,-0.000242352,0,0,0,0.766264,0,0,0,0.00589277,0.000206633,-0.00276001,0.000546002,9.40666,20.5995,11.1928,8.12399,
0.015,-0.0731303,0.0589594,-0.078169,0.000245343,7.51383e-05,0.0293035,0,0,0,0,0.0249783,-0.00367797,-0.0290873,-0.00439578,1.18736,-0.079167,-1.90261,-0.0201954,0,0,0,2.45063,0,0,0,0,0,0,2.22116,0,0,0,0.0227312,0.0144701,-0.052429,0,0,0,10.1952,0,0,0,-0.000350406,0.00044107,-0.000437789,0,0,0,0.89323,0,0,0,0.00821981,0.00027852,-0.00411081,0.00099633,13.0057,23.8207,10.815,8.05878,
0.0175,-0.0947965,0.0730988,-0.0703682,0.000300849,0.00012151,0.0291546,0,0,0,0,0.0224627,-0.0036673,-0.0274612,-0.00487602,1.18736,-0.079167,-1.90261,-0.0201954,0,0,0,2.71492,0,0,0,0,0,0,2.41569,0,0,0,0.0222025,0.0185486,-0.0595503,0,0,0,12.1967,-0.171127,0.106952,-0.232352,-0.000587398,0.000623795,-0.00061373,0,0,0,1.01764,0,0,0,0.0107354,0.000267849,-0.00573697,0.00147657,15.9093,27.1278,11.2185,8.05878,
0.02,-0.0974978,0.0945615,-0.0607426,0.000352483,0.000172653,0.0290059,0,0,0,0,0.0177752,-0.00283861,-0.0235039,-0.00459177,0.865837,0.0159908,-1.95063,0.0053445,0,0,0,2.75638,0,0,0,0,0,0,2.44212,0,0,0,0.0206537,0.0204571,-0.0594851,0,0,0,12.4791,0,0,0,-0.000831168,0.000860169,-0.000765593,0,0,0,1.0423,0,0,0,0.0133268,0.000190475,-0.00759805,0.00194364,14.0626,22.3193,8.25666,8.08187,
0.0225,-0.100373,0.116083,-0.0522564,0.000400403,0.000228525,0.028857,0,0,0,0,0.0151055,-0.00270184,-0.0214082,-0.00504844,0.865837,0.0159908,-1.95063,0.0053445,0,0,0,2.79981,0,0,0,0,0,0,2.46918,0,0,0,0.0191678,0.022349,-0.0595524,0,0,0,12.6529,0,0,0,-0.00108216,0.00115033,-0.000896222,0,0,0,1.06619,0,0,0,0.0159965,5.37015e-05,-0.00969376,0.0024003,14.5413,23.0489,8.50762,8.08187,
