timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0.0345115,0.00551243,-0.0344755,0.00551026,0,0,0,0,0.0990677,0.10945,-0.240992,0.560954,0,0,0,0.0990676,-0.10945,-0.240992,0.561539,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349877,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350043,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,-0.00209641,-2.06945e-06,8.95415e-08,0.0298247,0,0,0,0,0.0345796,0.00551758,-0.0344728,0.00551117,0,0,0,0,0,0,0,1.09352,0,0,0,0,0,0,1.09464,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682681,0,0,0,9.62797e-07,-3.27617e-06,-4.72869e-06,0,0,0,0.68299,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.00301934,0.0118391,0.00652094,2.55601e-05,2.08756e-07,0.0297273,0,0,0,0,0.03432,-0.00480659,-0.0346183,-0.00480303,0.320669,-0.0363249,-0.186275,-0.0346652,0,0,0,1.28309,0,0,0,0,0,0,1.27933,0,0,0,0.0110518,4.77325e-05,-0.0389775,0,0,0,0.623754,0,0,0,8.51095e-06,2.63216e-05,1.15736e-05,0,0,0,0.631847,0,0,0,0.000586578,-2.81182e-05,-0.00028824,-3.16794e-05,6.1895,9.97184,3.78233,7.71373,
0.0075,0.00575063,0.0243737,0.0151171,8.36771e-05,3.87397e-07,0.0296486,0,0,0,0,0.0328732,-0.00477072,-0.0340527,-0.00474335,0.320669,-0.0363249,-0.186275,-0.0346652,0,0,0,1.47022,0,0,0,0,0,0,1.46178,0,0,0,0.0232468,7.15972e-05,-0.0314636,0,0,0,0.53021,0,0,0,2.28863e-05,8.72562e-05,4.93663e-05,0,0,0,0.545776,0,0,0,0.00203339,-6.3987e-05,-0.000853846,-9.13553e-05,5.82655,10.1978,4.37127,7.71373,
0.01,-0.0254885,0.0311361,-0.0448811,0.000146227,1.39504e-05,0.0295506,0,0,0,0,0.0306297,-0.00415251,-0.0328425,-0.00424189,0.854729,-0.140068,-0.977507,0.226639,0,0,0,1.85459,0,0,0,0,0,0,1.75933,0,0,0,0.02502,0.00542552,-0.0392239,0,0,0,4.3724,0,0,0,-4.08314e-05,0.000165097,-6.28401e-05,0,0,0,0.651994,0,0,0,0.00384709,2.26972e-05,-0.00163435,0.000112083,6.11654,13.1762,7.05965,7.11634,
0.0125,-0.0564822,0.0379324,-0.104183,0.000213387,4.09923e-05,0.029433,0,0,0,0,0.0284482,-0.00435523,-0.0318472,-0.004706,0.854729,-0.140068,-0.977507,0.226639,0,0,0,2.2245,0,0,0,0,0,0,2.04769,0,0,0,0.026864,0.0108174,-0.047039,0,0,0,7.53428,0,0,0,-0.000182025,0.000259925,-0.000323308,0,0,0,0.755844,0,0,0,0.0060286,0.000225421,-0.00262963,0.000576191,8.82827,16.3112,7.48294,7.11634,
0.015,-0.078506,0.0507667,-0.0900437,0.000281907,7.93683e-05,0.0292958,0,0,0,0,0.0247905,-0.00369645,-0.0293116,-0.00445437,1.30181,-0.0989075,-1.74782,-0.0453991,0,0,0,2.51876,0,0,0,0,0,0,2.26584,0,0,0,0.0274079,0.0153514,-0.0548827,0,0,0,10.2077,0,0,0,-0.000378294,0.00038682,-0.000548431,0,0,0,0.888244,0,0,0,0.0084076,0.000296996,-0.00388652,0.00105492,13.297,23.8501,10.5531,8.27795,
0.0175,-0.100615,0.0636032,-0.0761596,0.000352179,0.00012905,0.0291386,0,0,0,0,0.0222119,-0.00363779,-0.0277934,-0.00494623,1.30181,-0.0989075,-1.74782,-0.0453991,0,0,0,2.80329,0,0,0,0,0,0,2.47727,0,0,0,0.0281088,0.0198742,-0.0628733,0,0,0,12.209,-0.171199,0.106962,-0.232309,-0.000629857,0.000545773,-0.000738849,0,0,0,1.01779,0,0,0,0.0109862,0.000238335,-0.00540474,0.00154678,16.2228,27.1677,10.9449,8.27795,
0.02,-0.103437,0.0849516,-0.0719135,0.000420511,0.000185489,0.0289817,0,0,0,0,0.017458,-0.00275371,-0.0239432,-0.00468528,0.978044,0.0718788,-1.91001,-0.0136664,0,0,0,2.84442,0,0,0,0,0,0,2.49956,0,0,0,0.027333,0.022578,-0.0627466,0,0,0,12.4771,0,0,0,-0.000888513,0.000758075,-0.000918636,0,0,0,1.03879,0,0,0,0.013644,0.000105574,-0.00715879,0.00203714,13.9458,22.3938,8.44807,8.07595,
0.0225,-0.106419,0.10635,-0.0687576,0.000487081,0.000248611,0.0288248,0,0,0,0,0.0147186,-0.00255414,-0.0219536,-0.00517631,0.978044,0.0718788,-1.91001,-0.0136664,0,0,0,2.88694,0,0,0,0,0,0,2.52219,0,0,0,0.026628,0.0252519,-0.0627597,0,0,0,12.656,0,0,0,-0.00115467,0.00102385,-0.00109051,0,0,0,1.05694,0,0,0,0.0163834,-9.40007e-05,-0.00914839,0.00252817,14.4133,23.1196,8.70626,8.07595,
0.025,-0.105638,0.129127,-0.0570374,0.00055208,0.000310748,0.0286703,0,0,0,0,0.00915523,-0.00155962,-0.0168971,-0.00485301,0.887326,0.0225298,-1.917,-0.023526,0,0,0,2.85226,0,0,0,0,0,0,2.4904,0,0,0,0.0259995,0.024859,-0.0618048,0,0,0,11.5455,0,0,0,-0.00141894,0.00134652,-0.00123306,0,0,0,1.06002,0,0,0,0.0190848,-0.000320875,-0.011343,0.00297251,14.9515,21.4228,6.47123,7.71055,
0.0275,-0.104995,0.151999,-0.0464922,0.000615283,0.000371781,0.028518,0,0,0,0,0.00649044,-0.00131401,-0.0144977,-0.00525479,0.887326,0.0225298,-1.917,-0.023526,0,0,0,2.82002,0,0,0,0,0,0,2.46177,0,0,0,0.0252812,0.0244188,-0.0609281,0,0,0,10.5106,0,0,0,-0.00168169,0.00172633,-0.00134919,0,0,0,1.06704,0,0,0,0.0217496,-0.000566479,-0.0137424,0.0033743,14.5495,21.1772,6.62771,7.71055,
0.03,-0.101944,0.173621,-0.0315061,0.000674932,0.000427743,0.0283677,0,0,0,0,0.000421164,-0.000260766,-0.00837313,-0.00481319,0.844171,-0.0364622,-1.95637,0.0171859,0,0,0,2.73649,0,0,0,0,0,0,2.3988,0,0,0,0.0238595,0.0223923,-0.0601158,0,0,0,8.79053,0,0,0,-0.00193692,0.00216015,-0.00142781,0,0,0,1.07578,0,0,0,0.0242615,-0.000840488,-0.0163096,0.00371194,16.916,21.6572,4.74122,7.52914,
