timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000142722,-0.001717,3.80977e-06,7.73861e-07,-2.35437e-09,0.0299422,0,0,0,0,0,0,0,0,0,0,0,0,0.0990663,0.10945,-0.240993,0.569257,0,0,0,0.0990663,-0.10945,-0.240993,0.569538,0,0,0,0.000309544,-9.41746e-07,-0.0231331,-0.165228,0.10845,-0.242773,0.34716,0,0,0,3.56805e-07,-4.2925e-06,9.52443e-09,-0.165228,-0.10845,-0.242773,0.347371,0,0,0,0,0,0,0,0,0,0,0,
0.0025,0.000282166,-0.00338128,-0.00249128,-8.41852e-07,-6.84267e-09,0.0298264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10947,0,0,0,0,0,0,1.11003,0,0,0,-0.000646285,-1.78751e-06,-0.0463007,0,0,0,0.677382,0,0,0,1.06226e-06,-1.27457e-05,-6.21867e-06,0,0,0,0.67777,0,0,0,0,0,0,0,0,0,0,0,
0.005,0.000830297,-0.00420209,-0.00479433,1.72145e-05,1.6599e-07,0.0297059,0,0,0,0,0,0,0,0,0.315626,-0.0365578,-0.186277,-0.0348993,0,0,0,1.14064,0,0,0,0,0,0,1.14103,0,0,0,0.00722256,6.91799e-05,-0.0481994,0,0,0,0.711323,0,0,0,3.13818e-06,-2.32509e-05,-1.82045e-05,0,0,0,0.712346,0,0,0,0,0,0,0,6.49359,6.49359,0,4.85908,
0.0075,0.00134687,-0.00520298,-0.00713127,5.53789e-05,5.09568e-07,0.0295801,0,0,0,0,0,0,0,0,0.315626,-0.0365578,-0.186277,-0.0348993,0,0,0,1.17665,0,0,0,0,0,0,1.17698,0,0,0,0.0152657,0.000137572,-0.0503442,0,0,0,0.709226,0,0,0,6.50584e-06,-3.62583e-05,-3.60327e-05,0,0,0,0.710707,0,0,0,0,0,0,0,6.45366,6.45366,0,4.85908,
0.01,-0.0233627,-0.014843,0.00359112,9.34517e-05,1.10066e-05,0.0294214,0,0,0,0,0,0,0,0,0.841096,-0.148461,-1.04171,0.189225,0,0,0,1.50991,0,0,0,0,0,0,1.39373,0,0,0,0.0152291,0.00419913,-0.0634679,0,0,0,4.48776,0,0,0,-5.18988e-05,-7.33674e-05,-2.70537e-05,0,0,0,0.879086,0,0,0,0,0,0,0,6.39927,6.39927,0,3.36283,
0.0125,-0.0478096,-0.0244457,0.014108,0.0001316,3.17393e-05,0.0292298,0,0,0,0,0,0,0,0,0.841096,-0.148461,-1.04171,0.189225,0,0,0,1.83699,0,0,0,0,0,0,1.60764,0,0,0,0.0152593,0.00829367,-0.0766281,0,0,0,7.62308,0,0,0,-0.000171417,-0.000134488,8.21906e-06,0,0,0,1.04483,0,0,0,0,0,0,0,9.01699,9.01699,0,3.36283,
0.015,-0.0720794,-0.0378199,0.0204374,0.00016775,6.10252e-05,0.0290074,0,0,0,0,0,0,0,0,1.26527,-0.076999,-1.87203,0.117892,0,0,0,2.12312,0,0,0,0,0,0,1.79668,0,0,0,0.0144598,0.0117153,-0.0889831,0,0,0,10.3043,0,0,0,-0.000351606,-0.000229051,5.93165e-05,0,0,0,1.20543,0,0,0,0,0,0,0,13.1873,13.1873,0,3.75035,
0.0175,-0.0961889,-0.0511411,0.0262115,0.000202279,9.90084e-05,0.0287537,0,0,0,0,0,0,0,0,1.26527,-0.076999,-1.87203,0.117892,0,0,0,2.40371,0,0,0,0,0,0,1.98678,0,0,0,0.0138118,0.0151948,-0.101463,0,0,0,12.308,-0.171068,0.107222,-0.23202,-0.000592062,-0.000356929,0.00012485,0,0,0,1.36341,0,0,0,0,0,0,0,16.0022,16.0022,0,3.75035,
0.02,-0.0998323,-0.055688,0.0212127,0.000233015,0.000143744,0.0284945,0,0,0,0,0,0,0,0,1.0887,0.113164,-2.37154,0.16714,0,0,0,2.44131,0,0,0,0,0,0,1.99893,0,0,0,0.0122943,0.0178963,-0.103685,0,0,0,12.5839,0,0,0,-0.00084162,-0.000496185,0.000177885,0,0,0,1.38155,0,0,0,0,0,0,0,14.9611,14.9611,0,5.00411,
0.0225,-0.103492,-0.0601199,0.0161249,0.000260121,0.000195245,0.0282294,0,0,0,0,0,0,0,0,1.0887,0.113164,-2.37154,0.16714,0,0,0,2.47786,0,0,0,0,0,0,2.00744,0,0,0,0.0108425,0.0206039,-0.106028,0,0,0,12.7646,0,0,0,-0.00110032,-0.000646533,0.000218199,0,0,0,1.39968,0,0,0,0,0,0,0,15.3153,15.3153,0,5.00411,
0.025,-0.104703,-0.0615382,0.00934244,0.000284992,0.000247994,0.0279646,0,0,0,0,0,0,0,0,0.939302,0.0296651,-2.46958,0.185521,0,0,0,2.44844,0,0,0,0,0,0,1.98433,0,0,0,0.0099483,0.0211038,-0.105919,0,0,0,11.6012,0,0,0,-0.00136204,-0.00080044,0.000241555,0,0,0,1.38522,0,0,0,0,0,0,0,16.2009,16.2009,0,5.32372,
0.0275,-0.105801,-0.0628644,0.00294043,0.000307432,0.000301961,0.0276999,0,0,0,0,0,0,0,0,0.939302,0.0296651,-2.46958,0.185521,0,0,0,2.423,0,0,0,0,0,0,1.9635,0,0,0,0.0089762,0.0215924,-0.105879,0,0,0,10.5199,0,0,0,-0.0016265,-0.000957677,0.000248905,0,0,0,1.37237,0,0,0,0,0,0,0,15.6886,15.6886,0,5.32372,
0.03,-0.104917,-0.062624,-0.00345027,0.000327121,0.000353616,0.0274387,0,0,0,0,0,0,0,0,0.79393,-0.0497289,-2.53109,0.194667,0,0,0,2.36239,0,0,0,0,0,0,1.92723,0,0,0,0.00787567,0.0206692,-0.104483,0,0,0,8.71368,0,0,0,-0.00188874,-0.00111433,0.000240277,0,0,0,1.34487,0,0,0,0,0,0,0,18.1539,18.1539,0,5.93786,
0.0325,-0.104053,-0.062326,-0.00944496,0.000343808,0.000402891,0.0271808,0,0,0,0,0,0,0,0,0.79393,-0.0497289,-2.53109,0.194667,0,0,0,2.30558,0,0,0,0,0,0,1.89394,0,0,0,0.00667477,0.0197194,-0.103178,0,0,0,6.9155,0,0,0,-0.00214881,-0.00127025,0.000216663,0,0,0,1.3196,0,0,0,0,0,0,0,16.581,16.581,0,5.93786,
0.035,-0.103625,-0.0620874,-0.0146638,0.000355729,0.000448021,0.0269263,0,0,0,0,0,0,0,0,0.661291,-0.121356,-2.56401,0.195311,0,0,0,2.24467,0,0,0,0,0,0,1.86349,0,0,0,0.00476806,0.0180634,-0.101796,0,0,0,5.097,0,0,0,-0.00240779,-0.0014256,0.000180001,0,0,0,1.2979,0,0,0,0,0,0,0,15.9901,15.9901,0,6.26931,
0.0375,-0.103173,-0.0617847,-0.019743,0.000362736,0.000489033,0.026675,0,0,0,0,0,0,0,0,0.661291,-0.121356,-2.56401,0.195311,0,0,0,2.1884,0,0,0,0,0,0,1.83612,0,0,0,0.00280313,0.0164186,-0.100524,0,0,0,3.22452,0,0,0,-0.00266563,-0.00158022,0.000130641,0,0,0,1.27838,0,0,0,0,0,0,0,14.8594,14.8594,0,6.26931,
0.04,-0.1044,-0.0626647,-0.0243166,0.000362556,0.000526101,0.0264252,0,0,0,0,0,0,0,0,0.54421,-0.167295,-2.57455,0.197758,0,0,0,2.14726,0,0,0,0,0,0,1.81967,0,0,0,-7.21328e-05,0.0148444,-0.0999252,0,0,0,1.99823,0,0,0,-0.00292652,-0.00173707,6.98475e-05,0,0,0,1.27149,0,0,0,0,0,0,0,14.3611,14.3611,0,6.35394,
0.0425,-0.105663,-0.0634656,-0.0288837,0.000355147,0.000559274,0.0261766,0,0,0,0,0,0,0,0,0.54421,-0.167295,-2.57455,0.197758,0,0,0,2.1096,0,0,0,0,0,0,1.80585,0,0,0,-0.00296352,0.0132894,-0.0994395,0,0,0,0.884713,0,0,0,-0.00319055,-0.00189594,-2.36441e-06,0,0,0,1.26613,0,0,0,0,0,0,0,14.0632,14.0632,0,6.35394,
0.045,-0.11457,-0.064122,-0.0282332,0.000344504,0.000603471,0.0259377,0,0,0,0,0,0,0,0,1.0573,-0.100066,-3.15624,0.441735,0,0,0,2.04951,0,0,0,0,0,0,1.67364,0,0,0,-0.00425743,0.0177031,-0.0955491,0,0,0,0.720035,0,0,0,-0.00347682,-0.00205651,-7.29315e-05,0,0,0,1.18789,0,0,0,0,0,0,0,15.0527,15.0527,0,6.32209,
0.0475,-0.123476,-0.0647368,-0.0276168,0.000330663,0.000658725,0.0257083,0,0,0,0,0,0,0,0,1.0573,-0.100066,-3.15624,0.441735,0,0,0,1.98995,0,0,0,0,0,0,1.54839,0,0,0,-0.00553611,0.0221295,-0.0917671,0,0,0,0.864571,0,0,0,-0.00378533,-0.00221867,-0.000141937,0,0,0,1.11197,0,0,0,0,0,0,0,14.8755,14.8755,0,6.32209,
0.05,-0.133219,-0.0663384,-0.0283099,0.000314134,0.000724647,0.025487,0,0,0,0,0,0,0,0,1.07563,-0.0889712,-3.14834,0.406576,0,0,0,1.93955,0,0,0,0,0,0,1.43496,0,0,0,-0.00661195,0.0264018,-0.0885131,0,0,0,0.900899,0,0,0,-0.00411815,-0.0023849,-0.000212656,0,0,0,1.04431,0,0,0,0,0,0,0,14.705,14.705,0,6.2903,
0.0525,-0.14299,-0.0678009,-0.0294279,0.00029491,0.000801085,0.0252735,0,0,0,0,0,0,0,0,1.07563,-0.0889712,-3.14834,0.406576,0,0,0,1.89267,0,0,0,0,0,0,1.32686,0,0,0,-0.00768947,0.0306131,-0.0854012,0,0,0,0.941404,0,0,0,-0.00447537,-0.00255485,-0.000286149,0,0,0,0.979364,0,0,0,0,0,0,0,14.5407,14.5407,0,6.2903,
0.055,-0.147657,-0.0699874,-0.0334385,0.000271615,0.000878449,0.0250581,0,0,0,0,0,0,0,0,0.634551,-0.142184,-2.58749,0.170491,0,0,0,1.89353,0,0,0,0,0,0,1.32703,0,0,0,-0.00931797,0.0309891,-0.086135,0,0,0,0.975435,0,0,0,-0.00484423,-0.00273033,-0.000369665,0,0,0,0.98234,0,0,0,0,0,0,0,13.0206,13.0206,0,5.79092,
0.0575,-0.152361,-0.0720984,-0.0374748,0.000244262,0.000956829,0.0248407,0,0,0,0,0,0,0,0,0.634551,-0.142184,-2.58749,0.170491,0,0,0,1.89759,0,0,0,0,0,0,1.32796,0,0,0,-0.0109415,0.0314016,-0.086968,0,0,0,1.01676,0,0,0,-0.00522482,-0.00291114,-0.000463268,0,0,0,0.986728,0,0,0,0,0,0,0,13.169,13.169,0,5.79092,
0.06,-0.155868,-0.0740539,-0.0430609,0.000214598,0.00103666,0.0246232,0,0,0,0,0,0,0,0,0.647812,-0.140943,-2.60359,0.165323,0,0,0,1.88567,0,0,0,0,0,0,1.31403,0,0,0,-0.0118653,0.0319868,-0.0870253,0,0,0,1.18448,0,0,0,-0.00561416,-0.0030969,-0.000570836,0,0,0,0.978626,0,0,0,0,0,0,0,13.2433,13.2433,0,5.80974,
0.0625,-0.159401,-0.0759378,-0.0486548,0.000182627,0.00111801,0.0244052,0,0,0,0,0,0,0,0,0.647812,-0.140943,-2.60359,0.165323,0,0,0,1.87611,0,0,0,0,0,0,1.30221,0,0,0,-0.0127885,0.0326041,-0.0871743,0,0,0,1.39596,0,0,0,-0.0060123,-0.00328742,-0.000692389,0,0,0,0.97162,0,0,0,0,0,0,0,13.315,13.315,0,5.80974,
0.065,-0.161241,-0.0774432,-0.0553675,0.000150084,0.00120157,0.0241894,0,0,0,0,0,0,0,0,0.655828,-0.143723,-2.61889,0.153543,0,0,0,1.84794,0,0,0,0,0,0,1.27215,0,0,0,-0.0130172,0.0334953,-0.0863434,0,0,0,1.91954,0,0,0,-0.00641501,-0.00348177,-0.000830726,0,0,0,0.949646,0,0,0,0,0,0,0,13.0503,13.0503,0,5.80266,
0.0675,-0.163048,-0.0788833,-0.0619264,0.00011696,0.00128734,0.0239753,0,0,0,0,0,0,0,0,0.655828,-0.143723,-2.61889,0.153543,0,0,0,1.82238,0,0,0,0,0,0,1.24444,0,0,0,-0.0132497,0.0343871,-0.085608,0,0,0,2.52049,0,0,0,-0.00682221,-0.00367976,-0.000985465,0,0,0,0.929236,0,0,0,0,0,0,0,12.965,12.965,0,5.80266,
0.07,-0.162586,-0.0800708,-0.0675857,8.46123e-05,0.0013757,0.0237646,0,0,0,0,0,0,0,0,0.65128,-0.149358,-2.61422,0.136197,0,0,0,1.78678,0,0,0,0,0,0,1.20686,0,0,0,-0.0129393,0.0354359,-0.0843145,0,0,0,3.33671,0,0,0,-0.00722823,-0.00388079,-0.00115436,0,0,0,0.901352,0,0,0,0,0,0,0,12.4381,12.4381,0,5.78629,
0.0725,-0.161833,-0.0811809,-0.073182,5.30171e-05,0.00146689,0.0235568,0,0,0,0,0,0,0,0,0.65128,-0.149358,-2.61422,0.136197,0,0,0,1.75366,0,0,0,0,0,0,1.17107,0,0,0,-0.0126382,0.0365715,-0.0830964,0,0,0,4.20786,0,0,0,-0.00763233,-0.00408467,-0.00133727,0,0,0,0.874938,0,0,0,0,0,0,0,12.4298,12.4298,0,5.78629,
0.075,-0.159799,-0.0828374,-0.0813935,2.02223e-05,0.00155971,0.0233526,0,0,0,0,0,0,0,0,0.574834,-0.177893,-2.66208,0.17312,0,0,0,1.71216,0,0,0,0,0,0,1.13584,0,0,0,-0.0131181,0.0372384,-0.0816803,0,0,0,5.01005,0,0,0,-0.00803132,-0.00429272,-0.00154072,0,0,0,0.851502,0,0,0,0,0,0,0,12.3273,12.3273,0,5.98432,
0.0775,-0.157758,-0.0844091,-0.0894472,-1.37875e-05,0.00165424,0.0231518,0,0,0,0,0,0,0,0,0.574834,-0.177893,-2.66208,0.17312,0,0,0,1.67319,0,0,0,0,0,0,1.10237,0,0,0,-0.0136041,0.037932,-0.0803374,0,0,0,5.84457,0,0,0,-0.00842518,-0.00450474,-0.00176434,0,0,0,0.829136,0,0,0,0,0,0,0,12.4149,12.4149,0,5.98432,
