timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0.183358,0.0559463,-0.148683,-0.0457342,0,0,0,0,0.0990677,0.10945,-0.240992,0.560954,0,0,0,0.0990676,-0.10945,-0.240992,0.561541,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349877,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.35004,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0.183426,0.0559515,-0.148681,-0.0457333,0,0,0,0,0,0,0,1.09351,0,0,0,0,0,0,1.09464,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682681,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682983,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,0.00545485,0.157081,0.00559297,3.90012e-05,8.4924e-07,0.0297867,0,0,0,0,0.0978564,-4.02432e-05,-0.163728,-1.29819e-05,0.307141,-0.0373097,-0.196311,-0.035995,0,0,0,1.33786,0,0,0,0,0,0,1.32449,0,0,0,0.0164283,0.000303871,-0.0152215,0,0,0,0.437968,0,0,0,1.46002e-05,0.000389425,1.55035e-05,0,0,0,0.445861,0,0,0,0.00119978,3.97574e-05,-0.00151928,1.25063e-05,6.69723,123.217,116.52,19.4341,
0.0075,0.010613,0.314883,0.010765,0.000123882,2.3077e-06,0.0298267,0,0,0,0,0.0951846,-0.00014023,-0.160701,-4.16927e-05,0.307141,-0.0373097,-0.196311,-0.035995,0,0,0,1.56509,0,0,0,0,0,0,1.53942,0,0,0,0.0339521,0.000583384,0.0159947,0,0,0,0.229555,0,0,0,4.11336e-05,0.00117663,4.24154e-05,0,0,0,0.241018,0,0,0,0.00387155,0.000139745,-0.0045466,4.12171e-05,8.00748,132.961,124.953,19.4341,
0.01,-0.0157323,0.437273,-0.0252739,0.000224404,1.79412e-05,0.0298908,0,0,0,0,0.0918313,-0.000309204,-0.156275,-0.000309831,0.917438,-0.111554,-0.142513,0.0694834,0,0,0,1.96069,0,0,0,0,0,0,1.8487,0,0,0,0.0402088,0.00625341,0.0256412,0,0,0,4.00532,0,0,0,1.86335e-06,0.00226981,-2.0815e-05,0,0,0,0.302545,0,0,0,0.00733161,0.000300682,-0.00880727,0.000300199,7.3376,111.282,103.944,16.2376,
0.0125,-0.0420363,0.559759,-0.0615903,0.000340373,4.76879e-05,0.0299785,0,0,0,0,0.0875849,-0.000532606,-0.150782,-0.000798741,0.917438,-0.111554,-0.142513,0.0694834,0,0,0,2.32588,0,0,0,0,0,0,2.13484,0,0,0,0.0463879,0.0118987,0.0351055,0,0,0,7.08039,0,0,0,-0.000103067,0.00366921,-0.000174911,0,0,0,0.379458,0,0,0,0.011578,0.000524084,-0.0143004,0.000789108,10.7054,120.295,109.59,16.2376,
0.015,-0.0574512,0.654854,-0.0271653,0.000465239,9.00764e-05,0.0300759,0,0,0,0,0.0831434,-0.000500117,-0.143866,0.000989376,1.41118,-0.0681894,-0.139951,-0.0277668,0,0,0,2.61252,0,0,0,0,0,0,2.35059,0,0,0,0.0499462,0.0169554,0.0389571,0,0,0,9.77753,0,0,0,-0.000246714,0.00530634,-0.000243004,0,0,0,0.464716,0,0,0,0.0163267,0.000551794,-0.0208123,0.00127351,15.7797,103.531,87.7512,15.336,
0.0175,-0.073035,0.75001,0.0062439,0.000598926,0.000145119,0.0301822,0,0,0,0,0.0778937,-0.000334824,-0.136337,0.000509066,1.41118,-0.0681894,-0.139951,-0.0277668,0,0,0,2.87763,0,0,0,0,0,0,2.54832,0,0,0,0.0534751,0.0220169,0.0424967,0,0,0,11.6933,-0.17024,0.10689,-0.233716,-0.00042957,0.00718134,-0.000227647,0,0,0,0.552524,0,0,0,0.0215763,0.000386501,-0.0283417,0.00175382,19.4582,111.053,91.5951,15.336,
0.02,-0.0794398,0.821978,-0.00892018,0.000743886,0.000201147,0.0303035,0,0,0,0,0.0727466,-0.000321877,-0.127378,0.00486254,1.92977,0.52086,-0.399216,-0.449681,0,0,0,2.95463,0,0,0,0,0,0,2.60646,0,0,0,0.0579839,0.0224114,0.0485275,0,0,0,12.0232,0,0,0,-0.000628323,0.00923627,-0.00025022,0,0,0,0.617185,0,0,0,0.0271857,0.000392018,-0.036698,0.00228863,17.0029,92.147,75.1441,15.3758,
0.0225,-0.0831229,0.894087,-0.0162145,0.000899855,0.000260768,0.0304392,0,0,0,0,0.0667819,-0.000396376,-0.118195,0.00428802,1.92977,0.52086,-0.399216,-0.449681,0,0,0,3.0202,0,0,0,0,0,0,2.65982,0,0,0,0.0623875,0.0238485,0.0542733,0,0,0,12.2632,0,0,0,-0.000836223,0.0114715,-0.000291013,0,0,0,0.685623,0,0,0,0.0331504,0.000466518,-0.0458802,0.00286315,18.0168,95.7874,77.7706,15.3758,
0.025,-0.0796576,0.938973,0.027545,0.00106323,0.000318801,0.0305814,0,0,0,0,0.0612434,-0.000300845,-0.107667,0.00926227,2.03123,0.187854,-0.414412,-0.215987,0,0,0,3.01593,0,0,0,0,0,0,2.6638,0,0,0,0.0653495,0.0232131,0.0568981,0,0,0,11.2811,0,0,0,-0.0010361,0.0138188,-0.000222313,0,0,0,0.744777,0,0,0,0.0392709,0.000397723,-0.0556545,0.003309,14.9605,66.3902,51.4297,12.0896,
0.0275,-0.0764873,0.984004,0.069094,0.00123329,0.00037515,0.0307297,0,0,0,0,0.0549683,-0.000100066,-0.0973011,0.00893741,2.03123,0.187854,-0.414412,-0.215987,0,0,0,3.00938,0,0,0,0,0,0,2.66355,0,0,0,0.0680229,0.0225398,0.0593003,0,0,0,10.3736,0,0,0,-0.00122879,0.0162787,-4.96275e-05,0,0,0,0.804358,0,0,0,0.045546,0.000196944,-0.06602,0.00363385,14.8165,67.5484,52.7319,12.0896,
0.03,-0.0782344,1.00113,0.0519714,0.00140449,0.000424664,0.0308758,0,0,0,0,0.0493203,-0.000102598,-0.0857529,0.0122756,1.87866,0.189597,-0.30249,-0.0659365,0,0,0,2.95572,0,0,0,0,0,0,2.6382,0,0,0,0.0684807,0.0198054,0.0584625,0,0,0,8.8627,0,0,0,-0.00142549,0.0187815,8.02443e-05,0,0,0,0.852198,0,0,0,0.0518134,0.000149988,-0.0767494,0.00399699,16.6481,45.5026,28.8545,9.15462,
0.0325,-0.0801903,1.01832,0.0337938,0.00157615,0.000467211,0.0310193,0,0,0,0,0.0430598,-0.000217413,-0.0746602,0.0118704,1.87866,0.189597,-0.30249,-0.0659365,0,0,0,2.90127,0,0,0,0,0,0,2.61779,0,0,0,0.068664,0.0170188,0.0574083,0,0,0,7.36695,0,0,0,-0.00162666,0.0213272,0.000164659,0,0,0,0.900759,0,0,0,0.0580739,0.000264804,-0.0878421,0.00440213,15.319,44.6404,29.3215,9.15462,
0.035,-0.0784529,1.00848,0.0629552,0.00174254,0.00050375,0.031151,0,0,0,0,0.0376035,-0.000263055,-0.0625452,0.012785,1.59395,0.120252,-0.163174,-0.0209906,0,0,0,2.83901,0,0,0,0,0,0,2.57756,0,0,0,0.0665577,0.0146155,0.0526828,0,0,0,5.82885,0,0,0,-0.00182426,0.0238483,0.000322001,0,0,0,0.947791,0,0,0,0.0641866,0.000272633,-0.0990828,0.00471469,13.2402,24.1686,10.9284,5.97601,
0.0375,-0.0769607,0.998711,0.0909162,0.00190328,0.000534243,0.0312704,0,0,0,0,0.0316352,-0.000168991,-0.0511571,0.0125609,1.59395,0.120252,-0.163174,-0.0209906,0,0,0,2.7814,0,0,0,0,0,0,2.54336,0,0,0,0.0642951,0.0121974,0.0477612,0,0,0,4.27223,0,0,0,-0.00201897,0.0263449,0.000549267,0,0,0,0.999968,0,0,0,0.070155,0.000178569,-0.110471,0.0049388,12.0449,22.9884,10.9435,5.97601,
0.04,-0.0823211,0.963623,0.0696282,0.00205254,0.000558226,0.0313688,0,0,0,0,0.0265997,-0.000272371,-0.0389494,0.0111809,1.36111,0.145098,-0.184224,0.0783352,0,0,0,2.72171,0,0,0,0,0,0,2.51281,0,0,0,0.0597035,0.00959318,0.0393366,0,0,0,3.17648,0,0,0,-0.00222641,0.0287539,0.000723052,0,0,0,1.05697,0,0,0,0.0758848,0.000202086,-0.121813,0.00521607,10.8418,13.4143,2.57247,4.42919,
0.0425,-0.0878056,0.928558,0.0479106,0.00219025,0.000575678,0.0314457,0,0,0,0,0.0211027,-0.000416324,-0.0276531,0.0108498,1.36111,0.145098,-0.184224,0.0783352,0,0,0,2.66972,0,0,0,0,0,0,2.49092,0,0,0,0.0550844,0.00698091,0.030759,0,0,0,2.09582,0,0,0,-0.0024468,0.0310752,0.000842252,0,0,0,1.11931,0,0,0,0.0813818,0.000346039,-0.13311,0.00554718,10.3388,12.8719,2.53306,4.42919,
0.045,-0.104534,0.879244,0.00917367,0.00231799,0.000605113,0.0315081,0,0,0,0,0.0165022,-0.000635992,-0.0156788,0.007625,1.80446,0.189547,-1.09447,0.528503,0,0,0,2.58192,0,0,0,0,0,0,2.37119,0,0,0,0.0510979,0.0117741,0.0249802,0,0,0,1.64782,0,0,0,-0.00270756,0.0332734,0.000863818,0,0,0,1.13824,0,0,0,0.0866322,0.000511557,-0.144241,0.00601399,16.2461,22.815,6.56891,7.61595,
0.0475,-0.121038,0.829914,-0.0291661,0.00243596,0.000646516,0.0315557,0,0,0,0,0.0114933,-0.000818584,-0.00471246,0.00702506,1.80446,0.189547,-1.09447,0.528503,0,0,0,2.50538,0,0,0,0,0,0,2.26266,0,0,0,0.047187,0.016561,0.019038,0,0,0,1.27601,0,0,0,-0.00300803,0.0353484,0.000788688,0,0,0,1.1547,0,0,0,0.0916411,0.000694149,-0.155208,0.00661393,16.0418,22.5052,6.46339,7.61595,
0.05,-0.134379,0.762189,-0.0303552,0.00254264,0.000699452,0.031583,0,0,0,0,0.0073041,-0.00086479,0.00674604,0.00280682,1.58307,0.105742,-1.19291,0.505867,0,0,0,2.43884,0,0,0,0,0,0,2.153,0,0,0,0.0426705,0.0211743,0.0109237,0,0,0,1.25462,0,0,0,-0.00334187,0.0372541,0.00070974,0,0,0,1.18105,0,0,0,0.0963683,0.000773218,-0.165857,0.00722107,15.524,28.8133,13.2893,7.89925,
0.0525,-0.147714,0.694493,-0.032121,0.00263835,0.000763944,0.0315898,0,0,0,0,0.00285202,-0.000839312,0.0170787,0.00219191,1.58307,0.105742,-1.19291,0.505867,0,0,0,2.3832,0,0,0,0,0,0,2.05322,0,0,0,0.0382855,0.0257969,0.00269575,0,0,0,1.26127,0,0,0,-0.00370902,0.0389906,0.000625473,0,0,0,1.21032,0,0,0,0.10082,0.00074774,-0.17619,0.00783597,15.3876,28.3749,12.9873,7.89925,
0.055,-0.14941,0.609921,0.0042505,0.00272596,0.000824929,0.0315606,0,0,0,0,-0.000900653,-0.000678407,0.0276264,-0.00217102,1.21253,-0.109917,-0.809975,-0.0070652,0,0,0,2.38539,0,0,0,0,0,0,2.04787,0,0,0,0.0350421,0.0243938,-0.011678,0,0,0,1.3281,0,0,0,-0.00408225,0.0405155,0.000631647,0,0,0,1.29234,0,0,0,0.104984,0.000645027,-0.18604,0.00830945,11.3021,37.4937,26.1917,7.92705,
0.0575,-0.151614,0.525406,0.0378728,0.0028059,0.000882423,0.0314953,0,0,0,0,-0.00478207,-0.000509612,0.0369932,-0.00251108,1.21253,-0.109917,-0.809975,-0.0070652,0,0,0,2.3949,0,0,0,0,0,0,2.04924,0,0,0,0.0319773,0.0229976,-0.0260917,0,0,0,1.40766,0,0,0,-0.00446276,0.041829,0.000721321,0,0,0,1.38929,0,0,0,0.108865,0.000476232,-0.195406,0.00864951,11.3992,36.8577,25.4585,7.92705,
0.06,-0.158633,0.433555,0.0129082,0.0028806,0.000936409,0.0313953,0,0,0,0,-0.00812286,-0.000519968,0.0462801,-0.00669385,1.2445,-0.0511919,-1.21789,0.0662255,0,0,0,2.38193,0,0,0,0,0,0,2.05336,0,0,0,0.0298781,0.0215944,-0.0400234,0,0,0,1.47627,0,0,0,-0.00485958,0.0429129,0.000747714,0,0,0,1.46223,0,0,0,0.112476,0.000481084,-0.204208,0.00901986,13.0956,42.8636,29.768,8.68838,
