timestamp,ang_vel_err_x,ang_vel_err_y,ang_vel_err_z,body_err_x,body_err_y,body_err_z,eff_spine_f_y,eff_spine_f_z,eff_spine_r_y,eff_spine_r_z,err_spine_f_y,err_spine_f_z,err_spine_r_y,err_spine_r_z,fft_spine_f_y,fft_spine_f_z,fft_spine_r_y,fft_spine_r_z,fl_fd_x,fl_fd_y,fl_fd_z,fl_grf,fl_lo_x,fl_lo_y,fl_lo_z,fr_fd_x,fr_fd_y,fr_fd_z,fr_grf,fr_lo_x,fr_lo_y,fr_lo_z,lin_vel_err_x,lin_vel_err_y,lin_vel_err_z,rl_fd_x,rl_fd_y,rl_fd_z,rl_grf,rl_lo_x,rl_lo_y,rl_lo_z,rot_err_x,rot_err_y,rot_err_z,rr_fd_x,rr_fd_y,rr_fd_z,rr_grf,rr_lo_x,rr_lo_y,rr_lo_z,spine_f_y,spine_f_z,spine_r_y,spine_r_z,total_leg_power,total_power,total_spine_power,total_torque,
0,0.000129232,-0.000440288,0.000204931,3.59141e-07,3.02125e-08,0.0299416,0,0,0,0,0.0607875,-0.0276591,-0.0607514,0.0276622,0,0,0,0,0.0990677,0.10945,-0.240992,0.560956,0,0,0,0.0990676,-0.10945,-0.240992,0.561543,0,0,0,0.000143656,1.2085e-05,-0.0233624,-0.165227,0.10845,-0.242773,0.349881,0,0,0,3.2308e-07,-1.10072e-06,5.12327e-07,-0.165227,-0.10845,-0.242773,0.350043,0,0,0,-3.47162e-05,-2.62798e-06,-1.34503e-06,-4.6401e-07,0,0,0,0,
0.0025,0.000255883,-0.000870181,0.000403594,-2.06945e-06,8.95611e-08,0.0298247,0,0,0,0,0.0608555,-0.027654,-0.0607487,0.0276631,0,0,0,0,0,0,0,1.09352,0,0,0,0,0,0,1.09464,0,0,0,-0.000971436,2.37394e-05,-0.0467495,0,0,0,0.682678,0,0,0,9.62787e-07,-3.27617e-06,1.52131e-06,0,0,0,0.682976,0,0,0,-0.000102804,-7.77945e-06,-4.03561e-06,-1.37516e-06,0,0,0,0,
0.005,7.36488e-05,0.0236474,0.0143932,1.12317e-05,4.20182e-06,0.0297006,0,0,0,0,-0.0689155,-0.0349069,0.0698291,0.0351889,0.304093,-0.0437381,-0.225573,-0.0426679,0,0,0,0.842718,0,0,0,0,0,0,0.886237,0,0,0,0.00532046,0.00164491,-0.0496649,0,0,0,0.70838,0,0,0,1.14701e-06,5.58423e-05,3.75042e-05,0,0,0,0.701365,0,0,0,-0.000897679,-0.000270296,-1.58939e-05,-1.17419e-05,8.98674,16.5517,7.56494,10.2764,
0.0075,-0.000239774,0.0480109,0.0281819,4.07392e-05,1.235e-05,0.0295684,0,0,0,0,-0.0673958,-0.0343876,0.0698499,0.0352083,0.304093,-0.0437381,-0.225573,-0.0426679,0,0,0,0.64827,0,0,0,0,0,0,0.698856,0,0,0,0.011803,0.00325927,-0.0528688,0,0,0,0.698938,0,0,0,5.47861e-07,0.00017587,0.000107959,0,0,0,0.684315,0,0,0,-0.00241741,-0.000789604,-3.67504e-05,-3.11212e-05,8.91588,17.0761,8.16021,10.2764,
0.01,-0.043267,0.0453041,-0.0398672,6.62351e-05,3.77757e-05,0.0293877,0,0,0,0,-0.0643373,-0.0352606,0.0688913,0.0362947,0.417942,-0.0681479,-0.22304,0.0436829,0,0,0,0.826414,0,0,0,0,0,0,0.793628,0,0,0,0.0101984,0.0101703,-0.0722544,0,0,0,4.6076,0,0,0,-0.000107605,0.000289136,8.28122e-06,0,0,0,0.866482,0,0,0,-0.00461635,-0.00132551,6.23919e-05,0.000291324,7.53036,14.266,6.73561,7.70575,
0.0125,-0.0862247,0.0425784,-0.107647,8.79712e-05,8.04242e-05,0.0291586,0,0,0,0,-0.0614597,-0.0347065,0.0686722,0.0356321,0.417942,-0.0681479,-0.22304,0.0436829,0,0,0,0.999785,0,0,0,0,0,0,0.889787,0,0,0,0.00869446,0.0170594,-0.0916745,0,0,0,7.86409,0,0,0,-0.000323127,0.000395597,-0.000260862,0,0,0,1.0463,0,0,0,-0.00749393,-0.00187953,0.000281473,0.00095395,10.2077,17.4525,7.24477,7.70575,
0.015,-0.122949,0.0304363,-0.126644,0.000108897,0.000139686,0.0288856,0,0,0,0,-0.0556269,-0.0351983,0.0657731,0.0359591,0.47183,-0.0392494,-0.301946,-0.140928,0,0,0,1.21893,0,0,0,0,0,0,1.03413,0,0,0,0.00837036,0.0237048,-0.109192,0,0,0,10.5529,0,0,0,-0.000630447,0.000471699,-0.00057752,0,0,0,1.21608,0,0,0,-0.0107694,-0.00257104,0.000623202,0.00181027,14.6334,19.1145,4.48114,7.03218,
0.0175,-0.159747,0.01826,-0.145512,0.000129389,0.000215474,0.0285684,0,0,0,0,-0.0519562,-0.0343685,0.0653088,0.0349116,0.47183,-0.0392494,-0.301946,-0.140928,0,0,0,1.43338,0,0,0,0,0,0,1.18425,0,0,0,0.00819693,0.0303151,-0.126854,0,0,0,12.5935,-0.170917,0.106896,-0.231976,-0.00102974,0.000517348,-0.00094138,0,0,0,1.384,0,0,0,-0.0144401,-0.00340085,0.00108747,0.00285776,17.3358,22.0343,4.69846,7.03218,
0.02,-0.173747,-0.00723761,-0.17143,0.000167021,0.000314228,0.0282421,0,0,0,0,-0.0441633,-0.0344097,0.0605516,0.0346788,1.02876,0.289816,-0.270458,-0.380934,0,0,0,1.52606,0,0,0,0,0,0,1.16649,0,0,0,0.0150526,0.0395016,-0.130545,0,0,0,12.7562,0,0,0,-0.00146399,0.000499271,-0.00137008,0,0,0,1.37279,0,0,0,-0.0180407,-0.00431017,0.0016524,0.00404104,15.2288,18.7541,3.5253,7.92306,
0.0225,-0.18762,-0.0328665,-0.196914,0.000222042,0.000435908,0.0279063,0,0,0,0,-0.0406319,-0.0334183,0.0598863,0.033361,1.02876,0.289816,-0.270458,-0.380934,0,0,0,1.62058,0,0,0,0,0,0,1.17719,0,0,0,0.0220085,0.0486718,-0.134307,0,0,0,12.8342,0,0,0,-0.00193286,0.000417143,-0.00186254,0,0,0,1.35023,0,0,0,-0.021572,-0.00530156,0.00231772,0.00535877,15.4416,19.0382,3.59659,7.92306,
